File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF974OSM	bam	alignments	ENCSR539UBP	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF952ITC"	53262938575	ENCODE Processing Pipeline	1becb6a94c53c385fc55cf4b6081a811		https://www.encodeproject.org/files/ENCFF974OSM/@@download/ENCFF974OSM.bam	GRCh38			released				
ENCFF490FOO	bam	alignments	ENCSR539UBP	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF145JOD, ENCFF246HVP"	3.09019E+11	ENCODE Processing Pipeline	e190befa0600f7d898500f6b514b37e4		https://www.encodeproject.org/files/ENCFF490FOO/@@download/ENCFF490FOO.bam	GRCh38			released				
ENCFF272PBZ	bam	alignments	ENCSR539UBP	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF247WYM, ENCFF271MXH"	26745653905	ENCODE Processing Pipeline	72928baafa6efbf08bff23b494b89a8e		https://www.encodeproject.org/files/ENCFF272PBZ/@@download/ENCFF272PBZ.bam	GRCh38			released				
ENCFF888GNX	bam	alignments	ENCSR893BUA	whole-genome shotgun bisulfite sequencing	UBERON:0000947	aorta	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF362FFF"	74549162727	ENCODE Processing Pipeline	cac6f1ea4a3decd891ee10fa7c09f776		https://www.encodeproject.org/files/ENCFF888GNX/@@download/ENCFF888GNX.bam	GRCh38			released				
ENCFF375RJP	bam	alignments	ENCSR893BUA	whole-genome shotgun bisulfite sequencing	UBERON:0000947	aorta	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF555LYY"	77428918935	ENCODE Processing Pipeline	a108397f004b6bd765a7ec60d9473408		https://www.encodeproject.org/files/ENCFF375RJP/@@download/ENCFF375RJP.bam	GRCh38			released				
ENCFF035IUM	bam	alignments	ENCSR862LLM	whole-genome shotgun bisulfite sequencing	UBERON:0002106	spleen	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF338YJK"	86886144430	ENCODE Processing Pipeline	8773b990ddb4d62b9702a294dc67a7d8		https://www.encodeproject.org/files/ENCFF035IUM/@@download/ENCFF035IUM.bam	GRCh38			released				
ENCFF342EMY	bam	alignments	ENCSR862LLM	whole-genome shotgun bisulfite sequencing	UBERON:0002106	spleen	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF004LAO, ENCFF246HVP"	99795595399	ENCODE Processing Pipeline	8b41a670b57ee8fab7e8cdf2ede93bfc		https://www.encodeproject.org/files/ENCFF342EMY/@@download/ENCFF342EMY.bam	GRCh38			released				
ENCFF027YKJ	bam	alignments	ENCSR405XVT	whole-genome shotgun bisulfite sequencing	UBERON:0001264	pancreas	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF497TIY"	78692817765	ENCODE Processing Pipeline	aa1130947d918176d935ede5bd76e513		https://www.encodeproject.org/files/ENCFF027YKJ/@@download/ENCFF027YKJ.bam	GRCh38			released				
ENCFF566ITI	bam	alignments	ENCSR405XVT	whole-genome shotgun bisulfite sequencing	UBERON:0001264	pancreas	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF716LXQ"	78185381231	ENCODE Processing Pipeline	ad219d17f804f0c0187448263760519e		https://www.encodeproject.org/files/ENCFF566ITI/@@download/ENCFF566ITI.bam	GRCh38			released				
ENCFF069MOF	bam	alignments	ENCSR517TCG	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF197GWU, ENCFF246HVP"	78521360208	ENCODE Processing Pipeline	e862974c6d91757514afe8b2c97e3660		https://www.encodeproject.org/files/ENCFF069MOF/@@download/ENCFF069MOF.bam	GRCh38			released				
ENCFF420PTH	bam	alignments	ENCSR517TCG	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF335VTH"	86791707215	ENCODE Processing Pipeline	2d240658c1542c7e0ae1f2a696b70c64		https://www.encodeproject.org/files/ENCFF420PTH/@@download/ENCFF420PTH.bam	GRCh38			released				
ENCFF231CCQ	bam	alignments	ENCSR559QOU	whole-genome shotgun bisulfite sequencing	UBERON:0001043	esophagus	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF102ZDI, ENCFF246HVP"	97005074754	ENCODE Processing Pipeline	bcbfd1a576072b058fb9c3e425053e78		https://www.encodeproject.org/files/ENCFF231CCQ/@@download/ENCFF231CCQ.bam	GRCh38			released				
ENCFF367QNV	bam	alignments	ENCSR559QOU	whole-genome shotgun bisulfite sequencing	UBERON:0001043	esophagus	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF524CMA"	2.63279E+11	ENCODE Processing Pipeline	4cd8075dd4ce7fe758a6cde393fc74f8		https://www.encodeproject.org/files/ENCFF367QNV/@@download/ENCFF367QNV.bam	GRCh38			released				
ENCFF194SXB	bam	alignments	ENCSR987GWQ	whole-genome shotgun bisulfite sequencing	UBERON:0001159	sigmoid colon	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF383JKM"	1.14313E+11	ENCODE Processing Pipeline	1bab17d6de62ef0c7d93d19ca587da78		https://www.encodeproject.org/files/ENCFF194SXB/@@download/ENCFF194SXB.bam	GRCh38			released				
ENCFF705LNO	bam	alignments	ENCSR987GWQ	whole-genome shotgun bisulfite sequencing	UBERON:0001159	sigmoid colon	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF908EMN"	2.45736E+11	ENCODE Processing Pipeline	22aee8bf40d5465ef0fdb3009325a5a2		https://www.encodeproject.org/files/ENCFF705LNO/@@download/ENCFF705LNO.bam	GRCh38			released				
ENCFF093BBI	bam	alignments	ENCSR579AXB	whole-genome shotgun bisulfite sequencing	UBERON:0002084	heart left ventricle	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF695BLL"	1.17329E+11	ENCODE Processing Pipeline	5f90f5a6765bfbee831926559fe55313		https://www.encodeproject.org/files/ENCFF093BBI/@@download/ENCFF093BBI.bam	GRCh38			released				
ENCFF479WOW	bam	alignments	ENCSR579AXB	whole-genome shotgun bisulfite sequencing	UBERON:0002084	heart left ventricle	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF228ENS, ENCFF246HVP"	2.62608E+11	ENCODE Processing Pipeline	5fa89ba72fe603f802adad2a9c7b7a8b		https://www.encodeproject.org/files/ENCFF479WOW/@@download/ENCFF479WOW.bam	GRCh38			released				
ENCFF382MFI	bam	alignments	ENCSR012TGL	whole-genome shotgun bisulfite sequencing	UBERON:0002084	heart left ventricle	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF816IDU"	2.8942E+11	ENCODE Processing Pipeline	ebec82ea0dd10d414cb89096ade92e8e		https://www.encodeproject.org/files/ENCFF382MFI/@@download/ENCFF382MFI.bam	GRCh38			released				
ENCFF984GJM	bam	alignments	ENCSR012TGL	whole-genome shotgun bisulfite sequencing	UBERON:0002084	heart left ventricle	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF968SKG"	52393145592	ENCODE Processing Pipeline	f5ab9edaeaefa563a1d903b59d8ff179		https://www.encodeproject.org/files/ENCFF984GJM/@@download/ENCFF984GJM.bam	GRCh38			released				
ENCFF501IFY	bam	alignments	ENCSR012TGL	whole-genome shotgun bisulfite sequencing	UBERON:0002084	heart left ventricle	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF442OCP"	23947524396	ENCODE Processing Pipeline	90533f8d0f211f1b5e53856cedd6773f		https://www.encodeproject.org/files/ENCFF501IFY/@@download/ENCFF501IFY.bam	GRCh38			released				
ENCFF980COG	bam	alignments	ENCSR417YFD	whole-genome shotgun bisulfite sequencing	UBERON:0000992	ovary	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF504KVW"	3.40479E+11	ENCODE Processing Pipeline	144e2655e44e66eb1c22aff10662c077		https://www.encodeproject.org/files/ENCFF980COG/@@download/ENCFF980COG.bam	GRCh38			released				
ENCFF294ZJM	bam	alignments	ENCSR417YFD	whole-genome shotgun bisulfite sequencing	UBERON:0000992	ovary	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF217HSJ, ENCFF246HVP"	21858403848	ENCODE Processing Pipeline	14e9c298e9bf7374ae98bb664ea600dc		https://www.encodeproject.org/files/ENCFF294ZJM/@@download/ENCFF294ZJM.bam	GRCh38			released				
ENCFF570HVV	bam	alignments	ENCSR331PWE	whole-genome shotgun bisulfite sequencing	UBERON:0001159	sigmoid colon	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF755QLM"	45753300377	ENCODE Processing Pipeline	1d636714ce845306c9c8ff06e5b9e371		https://www.encodeproject.org/files/ENCFF570HVV/@@download/ENCFF570HVV.bam	GRCh38			released				
ENCFF930VIL	bam	alignments	ENCSR331PWE	whole-genome shotgun bisulfite sequencing	UBERON:0001159	sigmoid colon	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF751HGM"	3.12397E+11	ENCODE Processing Pipeline	b86d90b7004256b716ae4a36d801b4d6		https://www.encodeproject.org/files/ENCFF930VIL/@@download/ENCFF930VIL.bam	GRCh38			released				
ENCFF581MVM	bam	alignments	ENCSR797TEV	whole-genome shotgun bisulfite sequencing	UBERON:0002048	lung	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF414AAO"	73420798605	ENCODE Processing Pipeline	947067035829222af822912aa6dba662		https://www.encodeproject.org/files/ENCFF581MVM/@@download/ENCFF581MVM.bam	GRCh38			released				
ENCFF865VQL	bam	alignments	ENCSR797TEV	whole-genome shotgun bisulfite sequencing	UBERON:0002048	lung	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF607VFL"	73953956383	ENCODE Processing Pipeline	69ee0bf5ea25d1781d82d906a6e6ab2e		https://www.encodeproject.org/files/ENCFF865VQL/@@download/ENCFF865VQL.bam	GRCh38			released				
