chr	start	end	strand
chr1	98186220	98186221	1
chr1	203645885	203645886	1
chr10	54801272	54801273	1
chr10	103243949	103243950	1
chr1	45231515	45231516	1
chr1	231835248	231835249	1
chr1	111066208	111066209	1
chr10	97419180	97419181	1
chr10	125255589	125255590	1
chr10	126319966	126319967	1
chr1	109764431	109764432	1
chr10	82985729	82985730	1
chr10	101757946	101757947	1
chr1	47167124	47167125	1
chr1	189166347	189166348	1
chr1	229473721	229473722	1
chr11	108855710	108855711	1
chr1	14435484	14435485	1
chr1	31662117	31662118	1
chr10	112305131	112305132	1
chr1	94819975	94819976	1
chr10	101062901	101062902	1
chr1	95425237	95425238	1
chr1	246023697	246023698	1
chr10	7849743	7849744	1
chr1	48007152	48007153	1
chr10	12079328	12079329	1
chr10	6710779	6710780	1
chr1	172149303	172149304	1
chr10	121827162	121827163	1
chr11	111780381	111780382	1
chr10	103500123	103500124	1
chr1	204281892	204281893	1
chr1	46490452	46490453	1
chr1	246704298	246704299	1
chr1	161775354	161775355	1
chr1	46417981	46417982	1
chr10	79162674	79162675	1
chr1	196858773	196858774	1
chr10	104750269	104750270	1
chr10	103668559	103668560	1
chr1	114595277	114595278	1
chr11	112973766	112973767	1
chr10	44971843	44971844	1
chr10	88234989	88234990	1
chr11	109249672	109249673	1
chr1	104923458	104923459	1
chr1	42282007	42282008	1
chr1	9525876	9525877	1
chr11	105894461	105894462	1
chr1	42811490	42811491	1
chr1	182212013	182212014	1
chr10	36211361	36211362	1
chr1	212273619	212273620	1
chr1	178696458	178696459	1
chr10	37862843	37862844	1
chr1	99235335	99235336	1
chr1	207818970	207818971	1
chr10	36756503	36756504	1
chr1	3091368	3091369	1
chr10	16581595	16581596	1
chr1	65461898	65461899	1
chr1	36714358	36714359	1
chr1	20977335	20977336	1
chr1	106079056	106079057	1
chr1	122591693	122591694	1
chr1	112502830	112502831	1
chr1	51893669	51893670	1
chr1	61747802	61747803	1
chr10	3912136	3912137	1
chr10	666503	666504	1
chr10	124608659	124608660	1
chr1	209067320	209067321	1
chr1	228755472	228755473	1
chr1	18873822	18873823	1
chr10	70994441	70994442	1
chr1	61001217	61001218	1
chr1	182713114	182713115	1
chr1	167699088	167699089	1
chr10	44840341	44840342	1
chr1	201254153	201254154	1
chr1	208099331	208099332	1
chr1	228432081	228432082	1
chr1	235588951	235588952	1
chr1	205065629	205065630	1
chr1	45783696	45783697	1
chr1	248737687	248737688	1
chr10	128369438	128369439	1
chr1	8060764	8060765	1
chr1	247145668	247145669	1
chr10	8239765	8239766	1
chr10	57222650	57222651	1
chr1	28138708	28138709	1
chr10	83699390	83699391	1
chr1	166089860	166089861	1
chr10	32189888	32189889	1
chr10	33458608	33458609	1
chr10	16581728	16581729	1
chr10	49342399	49342400	1
chr1	13922226	13922227	1
chr1	17460746	17460747	1
chr1	13449671	13449672	1
chr10	23410640	23410641	1
chr10	132473324	132473325	1
chr1	162512975	162512976	1
chr1	107826513	107826514	1
chr1	214679243	214679244	1
chr1	54154256	54154257	1
chr1	9334464	9334465	1
chr10	131431762	131431763	1
chr10	34592701	34592702	1
chr10	89951622	89951623	1
chr1	171840912	171840913	1
chr1	42605739	42605740	1
chr10	112981500	112981501	1
chr10	4079891	4079892	1
chr10	107470148	107470149	1
chr1	238026700	238026701	1
chr1	241862237	241862238	1
chr10	92368045	92368046	1
chr1	200848987	200848988	1
chr1	239908696	239908697	1
chr1	35937799	35937800	1
chr10	72985124	72985125	1
chr10	58480174	58480175	1
chr10	17760526	17760527	1
chr1	96833634	96833635	1
chr1	247296634	247296635	1
chr1	157524124	157524125	1
chr1	98280159	98280160	1
chr11	111443157	111443158	1
chr10	102181450	102181451	1
chr10	76766355	76766356	1
chr1	49748094	49748095	1
chr1	229549579	229549580	1
chr1	155689369	155689370	1
chr1	150555822	150555823	1
chr1	169335968	169335969	1
chr1	199968278	199968279	1
chr10	28244079	28244080	1
chr10	60302921	60302922	1
chr10	22738535	22738536	1
chr1	27471613	27471614	1
chr1	47933073	47933074	1
chr10	115759987	115759988	1
chr1	10239968	10239969	1
chr10	58952279	58952280	1
chr1	24173162	24173163	1
chr10	107544334	107544335	1
chr1	51468945	51468946	1
chr1	57814949	57814950	1
chr1	232253080	232253081	1
chr10	51944062	51944063	1
chr10	105892440	105892441	1
chr1	245842553	245842554	1
chr1	228293610	228293611	1
chr1	77169675	77169676	1
chr1	24218176	24218177	1
chr10	101795416	101795417	1
chr10	116949410	116949411	1
chr1	84766791	84766792	1
chr10	80532130	80532131	1
chr1	161815345	161815346	1
chr10	51993961	51993962	1
chr1	112841657	112841658	1
chr10	36276960	36276961	1
chr1	41585479	41585480	1
chr1	6034146	6034147	1
chr10	36408781	36408782	1
chr1	20558098	20558099	1
chr10	124656639	124656640	1
chr10	75904752	75904753	1
chr10	32258936	32258937	1
chr10	78787402	78787403	1
chr10	45168967	45168968	1
chr10	104799965	104799966	1
chr1	190478627	190478628	1
chr10	121447564	121447565	1
chr1	214241987	214241988	1
chr1	24878518	24878519	1
chr1	11754597	11754598	1
chr10	115723810	115723811	1
chr10	13274485	13274486	1
chr1	97375517	97375518	1
chr10	24616073	24616074	1
chr1	226789246	226789247	1
chr1	161329152	161329153	1
chr1	125085109	125085110	1
chr10	127369158	127369159	1
chr10	92278820	92278821	1
chr10	102181493	102181494	1
chr10	55794226	55794227	1
chr1	119053773	119053774	1
chr1	2079645	2079646	1
chr1	2018134	2018135	1
chr1	227385046	227385047	1
chr1	54542263	54542264	1
chr10	103482927	103482928	1
chr1	220943624	220943625	1
chr10	127995307	127995308	1
chr10	74532730	74532731	1
chr1	15924114	15924115	1
chr10	92293499	92293500	1
chr10	51065745	51065746	1
chr1	94483312	94483313	1
chr10	43487748	43487749	1
chr10	39478079	39478080	1
chr10	59134834	59134835	1
chr11	10124843	10124844	1
chr1	52207291	52207292	1
chr1	207826601	207826602	1
chr1	82047333	82047334	1
chr1	234628275	234628276	1
chr1	226244294	226244295	1
chr1	54145539	54145540	1
chr10	3565599	3565600	1
chr10	23155339	23155340	1
chr1	208098926	208098927	1
chr10	59586236	59586237	1
chr1	41249064	41249065	1
chr10	62082246	62082247	1
chr10	49275218	49275219	1
chr10	38114705	38114706	1
chr1	148244264	148244265	1
chr1	59136944	59136945	1
chr1	168370763	168370764	1
chr1	17874686	17874687	1
chr10	78444549	78444550	1
chr10	98038581	98038582	1
chr1	82287766	82287767	1
chr10	65997956	65997957	1
chr1	120420288	120420289	1
chr1	3825926	3825927	1
chr1	241650514	241650515	1
chr10	34334548	34334549	1
chr1	44781656	44781657	1
chr1	201342146	201342147	1
chr1	4669496	4669497	1
chr10	109738075	109738076	1
chr1	211637535	211637536	1
chr10	127991520	127991521	1
chr1	147849619	147849620	1
chr10	13341100	13341101	1
chr11	110570332	110570333	1
chr1	201256811	201256812	1
chr1	184112017	184112018	1
chr1	34736903	34736904	1
chr1	62285287	62285288	1
chr10	70800671	70800672	1
chr10	113292970	113292971	1
chr1	25565205	25565206	1
chr1	153997959	153997960	1
chr10	15881232	15881233	1
chr1	11627086	11627087	1
chr1	59117008	59117009	1
chr10	111163704	111163705	1
chr1	107405605	107405606	1
chr10	88731164	88731165	1
chr1	92670091	92670092	1
chr1	19671729	19671730	1
chr1	93218548	93218549	1
chr1	204094202	204094203	1
chr10	5544379	5544380	1
chr1	180948658	180948659	1
chr1	6011374	6011375	1
chr10	117838535	117838536	1
chr1	21358600	21358601	1
chr10	7974857	7974858	1
chr10	34492844	34492845	1
chr10	44979285	44979286	1
chr1	93200165	93200166	1
chr1	20412822	20412823	1
chr1	69483535	69483536	1
chr1	174507043	174507044	1
chr10	20145130	20145131	1
chr10	78785430	78785431	1
chr10	99239589	99239590	1
chr1	18073265	18073266	1
chr1	47556452	47556453	1
chr1	224965540	224965541	1
chr10	84509837	84509838	1
chr11	104129082	104129083	1
chr1	80816841	80816842	1
chr1	124714344	124714345	1
chr10	78436081	78436082	1
chr1	229433540	229433541	1
chr10	75267902	75267903	1
chr1	62747691	62747692	1
chr10	133310646	133310647	1
chr10	78211242	78211243	1
chr1	191684968	191684969	1
chr1	241210376	241210377	1
chr1	124897305	124897306	1
chr1	79305127	79305128	1
chr10	4558067	4558068	1
chr1	231384420	231384421	1
chr1	156034336	156034337	1
chr1	125064578	125064579	1
chr11	103679176	103679177	1
chr1	9493365	9493366	1
chr1	61858298	61858299	1
chr1	82696337	82696338	1
chr1	228352736	228352737	1
chr1	207911238	207911239	1
chr1	150496009	150496010	1
chr10	88998921	88998922	1
chr10	106767520	106767521	1
chr1	166037328	166037329	1
chr1	4945736	4945737	1
chr10	32362574	32362575	1
chr1	20764768	20764769	1
chr1	223742380	223742381	1
chr1	238580529	238580530	1
chr10	23189669	23189670	1
chr1	63311549	63311550	1
chr1	203818042	203818043	1
chr10	109773501	109773502	1
chr10	131215227	131215228	1
chr1	67520457	67520458	1
chr10	33827859	33827860	1
chr10	32360739	32360740	1
chr1	231308082	231308083	1
chr10	68851931	68851932	1
chr1	29021605	29021606	1
chr10	34957339	34957340	1
chr1	114760851	114760852	1
chr10	58645364	58645365	1
chr1	205906227	205906228	1
chr1	20590535	20590536	1
chr1	184037721	184037722	1
chr1	54126211	54126212	1
chr10	14934660	14934661	1
chr1	9790855	9790856	1
chr1	238032852	238032853	1
chr1	55907893	55907894	1
chr1	226756225	226756226	1
chr10	133364351	133364352	1
chr1	45130177	45130178	1
chr1	22689019	22689020	1
chr10	117891847	117891848	1
chr1	51498947	51498948	1
chr1	223799909	223799910	1
chr1	23011704	23011705	1
chr1	152515855	152515856	1
chr10	43305538	43305539	1
chr1	4221871	4221872	1
chr1	207776337	207776338	1
chr1	187412386	187412387	1
chr1	33613134	33613135	1
chr1	197125602	197125603	1
chr1	13671169	13671170	1
chr10	129872798	129872799	1
chr1	33610023	33610024	1
chr1	38198275	38198276	1
chr10	7905708	7905709	1
chr1	20526321	20526322	1
chr1	168465886	168465887	1
chr1	200425997	200425998	1
chr1	179808677	179808678	1
chr11	100670744	100670745	1
chr1	15828416	15828417	1
chr1	70540561	70540562	1
chr1	162179254	162179255	1
chr1	205213378	205213379	1
chr10	63582703	63582704	1
chr10	89019037	89019038	1
chr1	223745131	223745132	1
chr10	10650879	10650880	1
chr1	94796723	94796724	1
chr1	229384746	229384747	1
chr1	86110617	86110618	1
chr1	209073160	209073161	1
chr1	62436751	62436752	1
chr1	109128595	109128596	1
chr1	216478712	216478713	1
chr10	102844674	102844675	1
chr10	128313917	128313918	1
chr1	152378635	152378636	1
chr1	41016770	41016771	1
chr10	125088741	125088742	1
chr10	2818222	2818223	1
chr10	121345553	121345554	1
chr1	53874489	53874490	1
chr1	80891480	80891481	1
chr1	241794797	241794798	1
chr1	168327958	168327959	1
chr10	20189355	20189356	1
chr1	24503549	24503550	1
chr10	103915422	103915423	1
chr1	167216680	167216681	1
chr10	85311501	85311502	1
chr1	49391624	49391625	1
chr10	98492328	98492329	1
chr1	49737854	49737855	1
chr10	71484591	71484592	1
chr1	52919603	52919604	1
chr10	109186097	109186098	1
chr10	5411899	5411900	1
chr10	59466545	59466546	1
chr10	6065256	6065257	1
chr10	99415361	99415362	1
chr1	78934808	78934809	1
chr10	86007288	86007289	1
chr10	86623850	86623851	1
chr1	113121481	113121482	1
chr10	3269341	3269342	1
chr10	109795774	109795775	1
chr1	119382919	119382920	1
chr1	43993507	43993508	1
chr10	25441017	25441018	1
chr10	125154011	125154012	1
chr10	108177185	108177186	1
chr10	41846148	41846149	1
chr10	78398929	78398930	1
chr1	94904499	94904500	1
chr1	112399666	112399667	1
chr1	15674515	15674516	1
chr1	179836135	179836136	1
chr1	226380081	226380082	1
chr10	27108233	27108234	1
chr1	223743750	223743751	1
chr10	72518752	72518753	1
chr1	109875340	109875341	1
chr1	12132675	12132676	1
chr1	46089998	46089999	1
chr1	203705696	203705697	1
chr10	77295608	77295609	1
chr10	111007142	111007143	1
chr1	87818201	87818202	1
chr1	13892864	13892865	1
chr1	177093521	177093522	1
chr10	99901376	99901377	1
chr1	25622021	25622022	1
chr1	246439763	246439764	1
chr1	69382355	69382356	1
chr1	124776555	124776556	1
chr1	17866862	17866863	1
chr10	2976307	2976308	1
chr10	123904596	123904597	1
chr10	22270598	22270599	1
chr10	112835520	112835521	1
chr10	39021762	39021763	1
chr1	104916212	104916213	1
chr1	107931631	107931632	1
chr1	204034085	204034086	1
chr1	228293796	228293797	1
chr10	15734821	15734822	1
chr10	43776941	43776942	1
chr1	59582625	59582626	1
chr1	110603902	110603903	1
chr1	80823905	80823906	1
chr1	115355572	115355573	1
chr10	61308169	61308170	1
chr10	1163116	1163117	1
chr1	155970222	155970223	1
chr1	160023167	160023168	1
chr1	182258793	182258794	1
chr1	32294607	32294608	1
chr10	128806932	128806933	1
chr1	74140630	74140631	1
chr1	206458523	206458524	1
chr1	233849025	233849026	1
chr1	30166971	30166972	1
chr1	45667500	45667501	1
chr10	21705131	21705132	1
chr1	160162592	160162593	1
chr1	205853686	205853687	1
chr1	203819283	203819284	1
chr1	181193871	181193872	1
chr1	222370142	222370143	1
chr10	2860924	2860925	1
chr10	66487523	66487524	1
chr1	198153934	198153935	1
chr1	94222975	94222976	1
chr1	247204797	247204798	1
chr10	9924013	9924014	1
chr10	114002639	114002640	1
chr1	50293055	50293056	1
chr10	74191761	74191762	1
chr1	2073842	2073843	1
chr1	233148698	233148699	1
chr1	46005090	46005091	1
chr1	102578349	102578350	1
chr10	121538535	121538536	1
chr1	10650094	10650095	1
chr1	60583863	60583864	1
chr1	39893648	39893649	1
chr1	50490158	50490159	1
chr10	129385108	129385109	1
chr10	55107764	55107765	1
chr1	182872052	182872053	1
chr1	153591302	153591303	1
chr10	52965122	52965123	1
chr1	150427524	150427525	1
chr10	47083992	47083993	1
chr10	35464409	35464410	1
chr1	39960631	39960632	1
chr1	178964295	178964296	1
chr1	122634188	122634189	1
chr10	128021835	128021836	1
