"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8"
"28141415" 0 93.75 95.6521739130435 90.9090909090909 94.7368421052632 92.8571428571429 94.4444444444444 100
"10676177" 0 94.4444444444444 95.8333333333333 100 95.2380952380952 93.75 92.3076923076923 100
"38113250" 0 93.75 94.4444444444444 100 94.7368421052632 94.4444444444444 93.3333333333333 100
"28800599" 16.6666666666667 94.4444444444444 95.4545454545455 100 92.8571428571429 90.9090909090909 94.4444444444444 100
"21761441" 93.75 87.5 87.5 37.5 100 100 100 100
"14487411" 0 93.3333333333333 95.2380952380952 100 94.7368421052632 92.3076923076923 92.3076923076923 100
"1298849" 92.3076923076923 92.8571428571429 92.3076923076923 66.6666666666667 100 100 100 100
"43185406" 93.3333333333333 94.4444444444444 95.2380952380952 73.3333333333333 100 100 100 100
"31575694" 0 92.3076923076923 90 100 93.3333333333333 100 90.9090909090909 90.9090909090909
"31737874" 0 89.4736842105263 86.6666666666667 94.7368421052632 90.9090909090909 93.3333333333333 93.3333333333333 90.9090909090909
"1121588" 0 95.6521739130435 92.8571428571429 100 93.3333333333333 95.2380952380952 93.3333333333333 100
"41681026" 92.3076923076923 94.7368421052632 95 75 100 100 100 100
"28557598" 0 90.9090909090909 94.4444444444444 90.9090909090909 90.9090909090909 90 91.6666666666667 100
"22003331" 100 0 3.33333333333333 0 0 0 0 0
"9152681" 88.8888888888889 92.8571428571429 92.3076923076923 62.5 100 100 100 100
"14068765" 100 0 3.57142857142857 0 0 0 0 0
"44566384" 100 0 3.57142857142857 0 0 0 0 0
"3474623" 27.2727272727273 85.7142857142857 88.8888888888889 90 84.6153846153846 80 87.5 87.5
"18814337" 50 50 47.0588235294118 50 50 25 61.1111111111111 66.6666666666667
"29810679" 87.5 92.3076923076923 92.3076923076923 62.5 100 100 100 100
"27742810" 0 92.8571428571429 92.8571428571429 100 93.3333333333333 92.8571428571429 95.8333333333333 100
"28462693" 0 81.8181818181818 85 88.8888888888889 80 72.2222222222222 82.3529411764706 87.5
"27822438" 16.6666666666667 91.6666666666667 95 90.9090909090909 93.3333333333333 100 93.3333333333333 88.8888888888889
"16845471" 0 100 100 100 100 100 96.4285714285714 100
"41105447" 37.5 88.2352941176471 92.3076923076923 92.3076923076923 86.6666666666667 88.2352941176471 85.7142857142857 87.5
"22121246" 0 94.4444444444444 94.4444444444444 85.7142857142857 100 100 100 100
"30878678" 92.3076923076923 0 4.16666666666667 0 0 0 0 0
"39411356" 11.1111111111111 89.4736842105263 87.5 100 88.2352941176471 92.8571428571429 88.8888888888889 90
"6924477" 0 94.7368421052632 100 100 93.75 92.8571428571429 100 92.3076923076923
"31020772" 22.2222222222222 95.6521739130435 100 88.8888888888889 96.1538461538462 96 100 100
"44863926" 28.5714285714286 94.2857142857143 93.75 100 93.0232558139535 87.5 95.6521739130435 96.1538461538462
"28856080" 25 94.1176470588235 90.9090909090909 93.3333333333333 93.75 89.4736842105263 95.4545454545455 100
"10839441" 100 0 0 5.55555555555556 0 0 0 0
"21941487" 91.6666666666667 95.2380952380952 95.4545454545455 75 100 100 100 100
"16962868" 0 100 100 100 100 100 95.8333333333333 100
"5783257" 0 100 95 100 100 100 100 100
"21931438" 100 0 5 0 0 0 0 0
"41183175" 0 100 95 100 100 100 100 100
"9912805" 66.6666666666667 0 0 3.84615384615385 0 0 0 0
"29011149" 42.8571428571429 100 100 96.6666666666667 100 100 100 100
"28879236" 12.5 91.304347826087 89.4736842105263 81.25 95.4545454545455 93.3333333333333 94.7368421052632 100
"1792169" 30 93.3333333333333 91.6666666666667 100 93.75 91.6666666666667 92.3076923076923 100
"45568056" 0 100 100 94.1176470588235 100 100 100 100
"37186500" 100 0 0 5.88235294117647 0 0 0 0
"42243697" 22.2222222222222 93.3333333333333 94.4444444444444 100 94.4444444444444 91.6666666666667 95.2380952380952 100
"44601391" 90.9090909090909 93.3333333333333 91.6666666666667 66.6666666666667 100 100 100 100
"485755" 0 100 94.7368421052632 100 100 100 100 100
"21337551" 33.3333333333333 87.5 86.6666666666667 95.4545454545455 86.3636363636364 86.3636363636364 84 90
