chr 	pos	H1_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Cell_Line	hESC_Derived_CD184+_Endoderm_Cultured_Cells	hESC_Derived_CD56+_Ectoderm_Cultured_Cells	hESC_Derived_CD56+_Mesoderm_Cultured_Cells	HUES64_Cell_Line	IMR90_Cell_Line	iPS_DF_6.9_Cell_Line	iPS_DF_19.11_Cell_Line	4star	Mobilized_CD34_Primary_Cells_Female	Neurosphere_Cultured_Cells_Cortex_Derived	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Aorta	Adult_Liver	Brain_Germinal_Matrix	Brain_Hippocampus_Middle	Esophagus	Fetal_Intestine_Large	Fetal_Intestine_Small	Gastric	Left_Ventricle	Lung	Ovary	Pancreas	Psoas_Muscle	Right_Atrium	Right_Ventricle	Sigmoid_Colon	Small_Intestine	Thymus	Spleen	1	2	3	4	5	6	7	8
chr10	3283847	0.95	1	0.95	0.92	1	0.97	0.95	0.91	0.92	0.99	0.84	0.93	0.98	1	0.92	0	0.2	1	0.98	0.74	0.01	0.16	0.86	-1	-1	0.75	0.98	0.81	0.94	0.46	0.89	0.96	1	0.93	0.71	0.95	0.96								
chr10	3283848	0.95	1	0.95	0.92	1	0.97	0.95	0.91	0.92	0.99	0.84	0.93	0.98	1	0.92	0	0.2	1	0.98	0.74	0.01	0.16	0.86	-1	-1	0.75	0.98	0.81	0.94	0.46	0.89	0.96	1	0.93	0.71	0.95	0.96								
chr10	3283867	0.91	1	0.94	0.74	0.94	1	0.94	0.92	0.94	0.99	0.79	1	0.93	0.86	0.89	0.04	0.07	1	0.97	0.88	0.01	0.14	0.94	0.75	0.5	0.89	0.97	0.83	0.95	0.69	0.97	1	1	0.94	0.84	0.88	0.93								
chr10	3283868	0.91	1	0.94	0.74	0.94	1	0.94	0.92	0.94	0.99	0.79	1	0.93	0.86	0.89	0.04	0.07	1	0.97	0.88	0.01	0.14	0.94	0.75	0.5	0.89	0.97	0.83	0.95	0.69	0.97	1	1	0.94	0.84	0.88	0.93								
chr10	3283880	0.88	1	0.93	0.88	0.96	1	0.96	0.94	0.94	0.97	0.83	0.97	0.94	1	0.98	0	0.04	0.91	0.93	0.83	0	0.15	0.93	1	0.83	0.97	0.96	0.8	0.8	0.77	0.92	1	1	0.87	0.82	0.97	0.92								
chr10	3283881	0.88	1	0.93	0.88	0.96	1	0.96	0.94	0.94	0.97	0.83	0.97	0.94	1	0.98	0	0.04	0.91	0.93	0.83	0	0.15	0.93	1	0.83	0.97	0.96	0.8	0.8	0.77	0.92	1	1	0.87	0.82	0.97	0.92								
chr10	3283887	0.84	0.94	0.97	0.98	0.96	0.87	0.95	0.94	0.95	0.96	0.65	1	0.96	1	0.95	0	0.03	0.9	0.97	0.92	0	0.16	0.93	1	-1	0.97	0.98	0.84	0.86	0.78	1	1	1	0.95	0.84	1	0.96								
chr10	3283888	0.84	0.94	0.97	0.98	0.96	0.87	0.95	0.94	0.95	0.96	0.65	1	0.96	1	0.95	0	0.03	0.9	0.97	0.92	0	0.16	0.93	1	-1	0.97	0.98	0.84	0.86	0.78	1	1	1	0.95	0.84	1	0.96								
chr10	3283900	0.83	0.88	0.97	0.95	0.82	0.91	0.97	0.89	0.96	0.94	0.76	0.97	0.93	1	0.96	0	0.11	0.91	0.97	0.96	0	0.16	0.98	0.83	1	1	0.98	0.82	0.98	0.85	0.97	0.95	0.93	0.99	0.87	1	0.96								
chr10	3283901	0.83	0.88	0.97	0.95	0.82	0.91	0.97	0.89	0.96	0.94	0.76	0.97	0.93	1	0.96	0	0.11	0.91	0.97	0.96	0	0.16	0.98	0.83	1	1	0.98	0.82	0.98	0.85	0.97	0.95	0.93	0.99	0.87	1	0.96								
chr10	3283911	0.79	0.97	0.93	0.99	0.96	1	0.93	0.86	0.94	0.93	0.8	1	0.91	1	0.97	0	0.07	0.92	0.98	0.85	0.03	0.17	0.98	1	1	0.92	0.99	0.74	0.95	0.71	1	1	1	0.96	0.82	1	0.93								
chr10	3283912	0.79	0.97	0.93	0.99	0.96	1	0.93	0.86	0.94	0.93	0.8	1	0.91	1	0.97	0	0.07	0.92	0.98	0.85	0.03	0.17	0.98	1	1	0.92	0.99	0.74	0.95	0.71	1	1	1	0.96	0.82	1	0.93								
chr10	3283931	0.92	1	0.93	0.99	0.98	0.49	0.47	0.44	0.42	0.48	0.33	0	0	0.93	0.45	0	0.1	0.38	0.01	0.54	0	0.1	0	0.4	0.67	0	0.15	0.33	0.45	0	0	0.05	0	0.33	0.46	0.63	0								
chr10	3283932	0.92	1	0.93	0.99	0.98	0.49	0.47	0.44	0.42	0.48	0.33	0	0	0.93	0.45	0	0.1	0.38	0.01	0.54	0	0.1	0	0.4	0.67	0	0.15	0.33	0.45	0	0	0.05	0	0.33	0.46	0.63	0								
chr10	3283936	0.84	1	0.92	0.99	0.98	0.97	0.95	0.92	0.95	0.98	0.92	0.9	0.88	0.92	0.98	0	0.13	0.82	0.95	0.91	0	0.21	1	1	0.83	0.93	0.96	0.91	0.98	0.84	1	1	1	0.99	0.87	1	0.94								
chr10	3283937	0.84	1	0.92	0.99	0.98	0.97	0.95	0.92	0.95	0.98	0.92	0.9	0.88	0.92	0.98	0	0.13	0.82	0.95	0.91	0	0.21	1	1	0.83	0.93	0.96	0.91	0.98	0.84	1	1	1	0.99	0.87	1	0.94								
chr10	3283946	0.84	0.92	0.86	0.95	0.96	0.94	0.94	0.94	0.91	0.94	0.89	0.94	0.95	0.86	0.92	0	0.21	0.69	0.96	0.79	0.04	0.2	0.89	0.6	-1	0.9	0.98	0.83	0.84	0.53	0.94	0.92	0.97	0.96	0.75	0.94	0.9								
chr10	3283947	0.84	0.92	0.86	0.95	0.96	0.94	0.94	0.94	0.91	0.94	0.89	0.94	0.95	0.86	0.92	0	0.21	0.69	0.96	0.79	0.04	0.2	0.89	0.6	-1	0.9	0.98	0.83	0.84	0.53	0.94	0.92	0.97	0.96	0.75	0.94	0.9								
chr10	3283973	0.92	0.79	0.82	0.96	0.96	0.82	0.96	0.91	0.95	0.96	0.9	0.88	0.9	0.69	0.83	0	0.16	0.57	0.94	0.83	0	0.21	0.79	1	-1	0.81	0.93	0.71	0.94	0.54	0.85	0.94	0.8	0.91	0.75	0.84	0.89								
chr10	3283974	0.92	0.79	0.82	0.96	0.96	0.82	0.96	0.91	0.95	0.96	0.9	0.88	0.9	0.69	0.83	0	0.16	0.57	0.94	0.83	0	0.21	0.79	1	-1	0.81	0.93	0.71	0.94	0.54	0.85	0.94	0.8	0.91	0.75	0.84	0.89								
chr10 	79936948	0.6	0.87	0.96	0.95	0.98	0.95	0.92	0.87	0.92	0.93	0.89	0.84	0.86	1	1	0	0.01	0.67	0.92	0.92	0.06	0.2	0.95	1	-1	0.95	0.96	0.97	0.8	0.89	0.86	1	0.88	0.7	0.87	1	0.98								
chr10 	79936949	0.6	0.87	0.96	0.95	0.98	0.95	0.92	0.87	0.92	0.93	0.89	0.84	0.86	1	1	0	0.01	0.67	0.92	0.92	0.06	0.2	0.95	1	-1	0.95	0.96	0.97	0.8	0.89	0.86	1	0.88	0.7	0.87	1	0.98								
chr10 	79936959	1	0.86	0.89	0.9	0.98	0.89	0.89	0.88	0.9	0.92	0.82	0.93	0.88	0.88	1	0	0	1	0.88	0.99	0.06	0.21	1	1	-1	1	0.98	0.97	0.52	0.89	0.91	0.85	0.94	0.52	0.9	0.94	0.93								
chr10 	79936960	1	0.86	0.89	0.9	0.98	0.89	0.89	0.88	0.9	0.92	0.82	0.93	0.88	0.88	1	0	0	1	0.88	0.99	0.06	0.21	1	1	-1	1	0.98	0.97	0.52	0.89	0.91	0.85	0.94	0.52	0.9	0.94	0.93								
