	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	
chr18	1232803	74692072	0.71	0.96	0.91	0.76	0.94	0.91	0.94	0.95	0.91	0.86	0.64	0.87	0.91	0.93	0.94	0.85	0.88	0.88	0.91	0.95	0.91	0.34	0.82	0.78	-1	0.88	0.79	0.71	0.55	0.63	0.77	0.84	0.89	0.9	0.67	0.95	0.8
chr18	1232804	74692073	0.71	0.96	0.91	0.76	0.94	0.91	0.94	0.95	0.91	0.86	0.64	0.87	0.91	0.93	0.94	0.85	0.88	0.88	0.91	0.95	0.91	0.34	0.82	0.78	-1	0.88	0.79	0.71	0.55	0.63	0.77	0.84	0.89	0.9	0.67	0.95	0.8
chr18	1232805	74692082	0.73	0.88	0.94	0.84	0.91	0.86	0.94	0.93	0.85	0.9	0.61	0.87	0.86	0.8	0.96	0.9	0.88	0.86	0.88	0.88	0.82	0.41	0.85	0.8	-1	0.8	0.74	0.56	0.4	0.64	0.79	0.74	0.6	0.91	0.68	0.95	0.85
chr18	1232806	74692083	0.73	0.88	0.94	0.84	0.91	0.86	0.94	0.93	0.85	0.9	0.61	0.87	0.86	0.8	0.96	0.9	0.88	0.86	0.88	0.88	0.82	0.41	0.85	0.8	-1	0.8	0.74	0.56	0.4	0.64	0.79	0.74	0.6	0.91	0.68	0.95	0.85
chr18	1232807	74692112	0.53	0.77	0.89	0.95	0.86	0.67	0.85	0.81	0.89	0.82	0.51	0.81	0.8	0.79	0.92	0.88	0.85	0.64	0.7	0.86	0.68	0.3	0.74	0.78	1	0.56	0.76	0.59	0.52	0.78	0.75	0.64	0.79	0.76	0.6	0.88	0.75
chr18	1232808	74692113	0.53	0.77	0.89	0.95	0.86	0.67	0.85	0.81	0.89	0.82	0.51	0.81	0.8	0.79	0.92	0.88	0.85	0.64	0.7	0.86	0.68	0.3	0.74	0.78	1	0.56	0.76	0.59	0.52	0.78	0.75	0.64	0.79	0.76	0.6	0.88	0.75
chr18	1232809	74692116	0.75	0.88	0.97	0.98	0.97	0.86	0.94	0.95	0.9	0.96	0.89	0.9	0.94	1	0.97	1	0.97	0.88	0.94	0.96	0.88	0.49	0.95	1	1	0.91	0.87	0.83	0.85	0.93	0.84	0.88	0.95	0.98	0.84	1	0.95
chr18	1232810	74692117	0.75	0.88	0.97	0.98	0.97	0.86	0.94	0.95	0.9	0.96	0.89	0.9	0.94	1	0.97	1	0.97	0.88	0.94	0.96	0.88	0.49	0.95	1	1	0.91	0.87	0.83	0.85	0.93	0.84	0.88	0.95	0.98	0.84	1	0.95
chr18	1232811	74692133	0.81	0.93	0.93	0.95	1	0.91	0.94	0.99	0.98	0.98	0.97	0.93	0.98	0.85	0.93	1	0.95	0.95	0.98	1	0.89	0.6	0.97	0.9	1	1	0.94	0.86	1	1	0.86	1	0.89	0.97	0.91	0.96	0.92
chr18	1232812	74692134	0.81	0.93	0.93	0.95	1	0.91	0.94	0.99	0.98	0.98	0.97	0.93	0.98	0.85	0.93	1	0.95	0.95	0.98	1	0.89	0.6	0.97	0.9	1	1	0.94	0.86	1	1	0.86	1	0.89	0.97	0.91	0.96	0.92
chr18	1232813	74692145	0.82	0.88	0.98	0.91	0.89	0.81	0.93	0.92	0.94	0.96	0.87	0.87	0.98	0.92	0.91	0.94	0.87	0.91	0.87	0.9	0.91	0.36	0.88	0.78	1	0.82	0.83	0.67	0.61	0.89	0.74	0.85	0.78	0.91	0.85	0.88	0.8
chr18	1232814	74692146	0.82	0.88	0.98	0.91	0.89	0.81	0.93	0.92	0.94	0.96	0.87	0.87	0.98	0.92	0.91	0.94	0.87	0.91	0.87	0.9	0.91	0.36	0.88	0.78	1	0.82	0.83	0.67	0.61	0.89	0.74	0.85	0.78	0.91	0.85	0.88	0.8
chr18	1232815	74692178	0.88	0.87	0.9	0.5	0.89	0.84	0.97	0.92	0.87	0.96	0.82	0.83	0.86	0.81	0.98	0.71	0.86	0.61	0.93	0.86	0.86	0.36	0.86	0.92	0.89	0.76	0.78	0.67	0.63	0.52	0.6	0.83	0.86	0.94	0.8	0.94	0.89
chr18	1232816	74692179	0.88	0.87	0.9	0.5	0.89	0.84	0.97	0.92	0.87	0.96	0.82	0.83	0.86	0.81	0.98	0.71	0.86	0.61	0.93	0.86	0.86	0.36	0.86	0.92	0.89	0.76	0.78	0.67	0.63	0.52	0.6	0.83	0.86	0.94	0.8	0.94	0.89
