	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	
chr10	102543	3283847	0.95	1	0.95	0.92	1	0.97	0.95	0.91	0.92	0.99	0.84	0.93	0.98	1	0.92	0	0.2	1	0.98	0.74	0.01	0.16	0.86	-1	-1	0.75	0.98	0.81	0.94	0.46	0.89	0.96	1	0.93	0.71	0.95	0.96
chr10	102544	3283848	0.95	1	0.95	0.92	1	0.97	0.95	0.91	0.92	0.99	0.84	0.93	0.98	1	0.92	0	0.2	1	0.98	0.74	0.01	0.16	0.86	-1	-1	0.75	0.98	0.81	0.94	0.46	0.89	0.96	1	0.93	0.71	0.95	0.96
chr10	102545	3283867	0.91	1	0.94	0.74	0.94	1	0.94	0.92	0.94	0.99	0.79	1	0.93	0.86	0.89	0.04	0.07	1	0.97	0.88	0.01	0.14	0.94	0.75	0.5	0.89	0.97	0.83	0.95	0.69	0.97	1	1	0.94	0.84	0.88	0.93
chr10	102546	3283868	0.91	1	0.94	0.74	0.94	1	0.94	0.92	0.94	0.99	0.79	1	0.93	0.86	0.89	0.04	0.07	1	0.97	0.88	0.01	0.14	0.94	0.75	0.5	0.89	0.97	0.83	0.95	0.69	0.97	1	1	0.94	0.84	0.88	0.93
chr10	102547	3283880	0.88	1	0.93	0.88	0.96	1	0.96	0.94	0.94	0.97	0.83	0.97	0.94	1	0.98	0	0.04	0.91	0.93	0.83	0	0.15	0.93	1	0.83	0.97	0.96	0.8	0.8	0.77	0.92	1	1	0.87	0.82	0.97	0.92
chr10	102548	3283881	0.88	1	0.93	0.88	0.96	1	0.96	0.94	0.94	0.97	0.83	0.97	0.94	1	0.98	0	0.04	0.91	0.93	0.83	0	0.15	0.93	1	0.83	0.97	0.96	0.8	0.8	0.77	0.92	1	1	0.87	0.82	0.97	0.92
chr10	102549	3283887	0.84	0.94	0.97	0.98	0.96	0.87	0.95	0.94	0.95	0.96	0.65	1	0.96	1	0.95	0	0.03	0.9	0.97	0.92	0	0.16	0.93	1	-1	0.97	0.98	0.84	0.86	0.78	1	1	1	0.95	0.84	1	0.96
chr10	102550	3283888	0.84	0.94	0.97	0.98	0.96	0.87	0.95	0.94	0.95	0.96	0.65	1	0.96	1	0.95	0	0.03	0.9	0.97	0.92	0	0.16	0.93	1	-1	0.97	0.98	0.84	0.86	0.78	1	1	1	0.95	0.84	1	0.96
chr10	102551	3283900	0.83	0.88	0.97	0.95	0.82	0.91	0.97	0.89	0.96	0.94	0.76	0.97	0.93	1	0.96	0	0.11	0.91	0.97	0.96	0	0.16	0.98	0.83	1	1	0.98	0.82	0.98	0.85	0.97	0.95	0.93	0.99	0.87	1	0.96
chr10	102552	3283901	0.83	0.88	0.97	0.95	0.82	0.91	0.97	0.89	0.96	0.94	0.76	0.97	0.93	1	0.96	0	0.11	0.91	0.97	0.96	0	0.16	0.98	0.83	1	1	0.98	0.82	0.98	0.85	0.97	0.95	0.93	0.99	0.87	1	0.96
chr10	102553	3283911	0.79	0.97	0.93	0.99	0.96	1	0.93	0.86	0.94	0.93	0.8	1	0.91	1	0.97	0	0.07	0.92	0.98	0.85	0.03	0.17	0.98	1	1	0.92	0.99	0.74	0.95	0.71	1	1	1	0.96	0.82	1	0.93
chr10	102554	3283912	0.79	0.97	0.93	0.99	0.96	1	0.93	0.86	0.94	0.93	0.8	1	0.91	1	0.97	0	0.07	0.92	0.98	0.85	0.03	0.17	0.98	1	1	0.92	0.99	0.74	0.95	0.71	1	1	1	0.96	0.82	1	0.93
chr10	102555	3283931	0.92	1	0.93	0.99	0.98	0.49	0.47	0.44	0.42	0.48	0.33	0	0	0.93	0.45	0	0.1	0.38	0.01	0.54	0	0.1	0	0.4	0.67	0	0.15	0.33	0.45	0	0	0.05	0	0.33	0.46	0.63	0
chr10	102556	3283932	0.92	1	0.93	0.99	0.98	0.49	0.47	0.44	0.42	0.48	0.33	0	0	0.93	0.45	0	0.1	0.38	0.01	0.54	0	0.1	0	0.4	0.67	0	0.15	0.33	0.45	0	0	0.05	0	0.33	0.46	0.63	0
chr10	102557	3283936	0.84	1	0.92	0.99	0.98	0.97	0.95	0.92	0.95	0.98	0.92	0.9	0.88	0.92	0.98	0	0.13	0.82	0.95	0.91	0	0.21	1	1	0.83	0.93	0.96	0.91	0.98	0.84	1	1	1	0.99	0.87	1	0.94
chr10	102558	3283937	0.84	1	0.92	0.99	0.98	0.97	0.95	0.92	0.95	0.98	0.92	0.9	0.88	0.92	0.98	0	0.13	0.82	0.95	0.91	0	0.21	1	1	0.83	0.93	0.96	0.91	0.98	0.84	1	1	1	0.99	0.87	1	0.94
chr10	102559	3283946	0.84	0.92	0.86	0.95	0.96	0.94	0.94	0.94	0.91	0.94	0.89	0.94	0.95	0.86	0.92	0	0.21	0.69	0.96	0.79	0.04	0.2	0.89	0.6	-1	0.9	0.98	0.83	0.84	0.53	0.94	0.92	0.97	0.96	0.75	0.94	0.9
chr10	102560	3283947	0.84	0.92	0.86	0.95	0.96	0.94	0.94	0.94	0.91	0.94	0.89	0.94	0.95	0.86	0.92	0	0.21	0.69	0.96	0.79	0.04	0.2	0.89	0.6	-1	0.9	0.98	0.83	0.84	0.53	0.94	0.92	0.97	0.96	0.75	0.94	0.9
chr10	102561	3283973	0.92	0.79	0.82	0.96	0.96	0.82	0.96	0.91	0.95	0.96	0.9	0.88	0.9	0.69	0.83	0	0.16	0.57	0.94	0.83	0	0.21	0.79	1	-1	0.81	0.93	0.71	0.94	0.54	0.85	0.94	0.8	0.91	0.75	0.84	0.89
chr10	102562	3283974	0.92	0.79	0.82	0.96	0.96	0.82	0.96	0.91	0.95	0.96	0.9	0.88	0.9	0.69	0.83	0	0.16	0.57	0.94	0.83	0	0.21	0.79	1	-1	0.81	0.93	0.71	0.94	0.54	0.85	0.94	0.8	0.91	0.75	0.84	0.89
