chr	start	CpG probe	Cerebellum Average	All brain average	"Average all tissues, not brain"	Prefrontal Cortex Average	Leukocyte Average	White Matter Average
2	8936684	cg00016783	0.77095	0.5855025	0.884827848	0.49566	0.92895	0.5923
4	186741788	cg00028336	0.6178	0.4778975	0.809626582	0.45406	0.9546625	0.456510526
6	168225394	cg00035268	0.1524	0.4267275	0.911740506	0.45344	0.9646375	0.500026316
10	129796937	cg00054971	0.82505	0.4990625	0.912694937	0.35716	0.9452375	0.500573684
2	30041338	cg00073794	0.737666667	0.2993775	0.882264557	0.33926	0.90055	0.120457895
1	6390793	cg00081799	0.2521	0.5988275	0.804351899	0.47052	0.9327375	0.796047368
13	36944471	cg00084432	0.480366667	0.3577425	0.849548101	0.48896	0.9601875	0.207784211
4	2627246	cg00097088	0.65965	0.609485	0.863187342	0.49582	0.9383375	0.689636842
20	1275312	cg00098985	0.697983333	0.47439	0.854963291	0.49374	0.9046875	0.381442105
1	109772439	cg00102183	0.637916667	0.4398375	0.914810127	0.43094	0.9668625	0.392084211
17	2319906	cg00145352	0.6102	0.28137	0.912822785	0.3392	0.9675125	0.122136842
1	109850562	cg00154957	0.178533333	0.3006075	0.811405063	0.41704	0.94105	0.249221053
4	134077575	cg00160440	0.728683333	0.33396	0.844863291	0.32784	0.934	0.201268421
18	74729519	cg00187503	0.6625	0.4081475	0.815993671	0.49952	0.926275	0.249736842
10	61470282	cg00219151	0.5389	0.4870925	0.901603797	0.47456	0.96945	0.482
12	51756242	cg00245075	0.572566667	0.34861	0.828494937	0.43	0.9381	0.205089474
9	131153847	cg00321619	0.835066667	0.4477675	0.879049367	0.49262	0.922175	0.277657895
1	174417375	cg00335361	0.60025	0.41903	0.882317722	0.49758	0.9493125	0.298578947
10	126332072	cg00341191	0.28275	0.30272	0.873006329	0.39316	0.9214375	0.240289474
21	34350727	cg00376979	0.848533333	0.4309775	0.807793671	0.4466	0.9602	0.270031579
