chr	start	CpG Probe	Cerebellum Average	All brain average	"Average all tissues, not brain"	Prefrontal cortex average	Leukocyte average	White matter average
21	48017232	cg00009944	0.7176	0.50224	0.848096203	0.5611	0.952275	0.388147368
17	20105626	cg00018010	0.831633333	0.5545975	0.856278481	0.62316	0.9522625	0.407657895
1	16945449	cg00021123	0.3426	0.456825	0.815943038	0.5241	0.938975	0.431189474
4	186741788	cg00028336	0.6178	0.4778975	0.809626582	0.45406	0.9546625	0.456510526
6	134384706	cg00043444	0.79945	0.5379875	0.844207595	0.60064	0.9611125	0.400752632
16	72034122	cg00047683	0.734516667	0.4675425	0.80506962	0.57486	0.9261375	0.300626316
3	60617504	cg00071984	0.5765	0.51895	0.956268354	0.59898	0.9720875	0.433205263
2	30041338	cg00073794	0.737666667	0.2993775	0.882264557	0.33926	0.90055	0.120457895
13	36944471	cg00084432	0.480366667	0.3577425	0.849548101	0.48896	0.9601875	0.207784211
20	1275312	cg00098985	0.697983333	0.47439	0.854963291	0.49374	0.9046875	0.381442105
4	184067792	cg00100538	0.844583333	0.5103125	0.842465823	0.5843	0.926	0.333473684
1	109772439	cg00102183	0.637916667	0.4398375	0.914810127	0.43094	0.9668625	0.392084211
3	99945494	cg00128054	0.80625	0.6201725	0.883264557	0.6923	0.940725	0.491236842
X	153704948	cg00136787	0.8659	0.579995	0.835872152	0.62154	0.9494875	0.427531579
4	124301236	cg00137840	0.651233333	0.4494775	0.801265823	0.52758	0.9229	0.318126316
17	2319906	cg00145352	0.6102	0.28137	0.912822785	0.3392	0.9675125	0.122136842
16	70713933	cg00147286	0.6047	0.44097	0.855196203	0.51438	0.9326875	0.329757895
1	109850562	cg00154957	0.178533333	0.3006075	0.811405063	0.41704	0.94105	0.249221053
4	134077575	cg00160440	0.728683333	0.33396	0.844863291	0.32784	0.934	0.201268421
1	36639894	cg00169111	0.696616667	0.501805	0.801907595	0.52386	0.9093	0.427836842
18	74729519	cg00187503	0.6625	0.4081475	0.815993671	0.49952	0.926275	0.249736842
6	10836303	cg00190412	0.8449	0.6186675	0.865122785	0.72844	0.9387875	0.483810526
10	81444321	cg00198759	0.91195	0.0052925	0.930498734	0.91582	0.96915	-1
16	88547579	cg00216061	0.7257	0.514775	0.817165823	0.57632	0.9046625	0.408652632
15	75587027	cg00218707	0.723933333	0.55206	0.847420253	0.6153	0.934	0.469663158
10	61470282	cg00219151	0.5389	0.4870925	0.901603797	0.47456	0.96945	0.482
19	58447434	cg00242039	0.897566667	0.5899575	0.9241	0.70272	0.94715	0.405568421
3	149086884	cg00244111	0.828483333	0.5658075	0.893975949	0.64972	0.9291125	0.407647368
12	51756242	cg00245075	0.572566667	0.34861	0.828494937	0.43	0.9381	0.205089474
6	163880196	cg00254888	0.860816667	0.533885	0.863203797	0.6089	0.9317625	0.369805263
16	2107101	cg00260803	0.667733333	0.513405	0.899144304	0.56638	0.95895	0.423710526
7	124402490	cg00307737	0.853883333	0.573035	0.90341519	0.66442	0.9581125	0.401973684
7	14874108	cg00308440	0.2172	0.4453175	0.820211392	0.56624	0.9312375	0.439215789
9	131153847	cg00321619	0.835066667	0.4477675	0.879049367	0.49262	0.922175	0.277657895
7	91603056	cg00334498	0.600816667	0.4497225	0.849343038	0.52624	0.929375	0.339942105
1	174417375	cg00335361	0.60025	0.41903	0.882317722	0.49758	0.9493125	0.298578947
10	126332072	cg00341191	0.28275	0.30272	0.873006329	0.39316	0.9214375	0.240289474
19	38658072	cg00344482	0.830116667	0.5635525	0.866234177	0.59772	0.9339125	0.457036842
15	58699976	cg00344888	0.789	0.495645	0.881879747	0.5642	0.9097	0.342157895
1	242611826	cg00349573	0.1325	0.352655	0.827356962	0.51464	0.902525	0.307231579
17	210047	cg00351554	0.855816667	0.5544625	0.890107595	0.62612	0.94035	0.403726316
16	88547533	cg00352652	0.790583333	0.476045	0.867018987	0.53844	0.9618125	0.331542105
10	6275077	cg00373371	0.423033333	0.49034	0.856421519	0.51534	0.957725	0.4802
21	34350727	cg00376979	0.848533333	0.4309775	0.807793671	0.4466	0.9602	0.270031579
10	92984646	cg00393283	0.686433333	0.4774825	0.852658228	0.59792	0.917975	0.327821053
1	3662685	cg00397104	0.16355	0.3366425	0.851681013	0.48654	0.906325	0.269894737
2	240240189	cg00397274	0.86595	0.594625	0.88993038	0.6948	0.9492125	0.435526316
2	192815005	cg00397714	0.8035	0.5043725	0.85735443	0.61844	0.92885	0.325021053
19	4045108	cg00405939	0.657933333	0.5462925	0.888879747	0.71636	0.9390625	0.378910526
17	46660940	cg00411072	0.2932	0.375145	0.821921519	0.38364	0.9344	0.395384211
