Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr10	98038582	98038582	+	0	NA	Intergenic	L1MC4|LINE|L1	-7249	NM_013314	29760	Hs.665244	NM_013314	ENSG00000095585	BLNK	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	B-cell linker	protein-coding
chr1	245842554	245842554	+	0	NA	"intron (NM_018012, intron 10 of 14)"	MER58A|DNA|hAT-Charlie	524267	NM_018012	55083	Hs.143134	NM_018012	ENSG00000162849	KIF26B	-	kinesin family member 26B	protein-coding
chr10	104799966	104799966	+	0	NA	"intron (NM_199076, intron 1 of 6)"	"intron (NM_199076, intron 1 of 6)"	121891	NM_199076	54805	Hs.643509	NM_017649	ENSG00000148842	CNNM2	ACDP2|HOMG6|HOMGSMR	cyclin and CBS domain divalent metal cation transport mediator 2	protein-coding
chr1	189166348	189166348	+	0	NA	Intergenic	Intergenic	1278792	NM_001317188	339479	Hs.65765	NM_199051	ENSG00000162670	BRINP3	DBCCR1L|DBCCR1L1|FAM5C	BMP/retinoic acid inducible neural specific 3	protein-coding
chr10	99239590	99239590	+	0	NA	"intron (NM_001330128, intron 3 of 28)"	"intron (NM_001330128, intron 3 of 28)"	18776	NM_001289404	64210	Hs.500721	NM_022362	ENSG00000155229	MMS19	MET18|MMS19L|hMMS19	"MMS19 homolog, cytosolic iron-sulfur assembly component"	protein-coding
chr1	20590536	20590536	+	0	NA	Intergenic	MLT1C|LTR|ERVL-MaLR	-26876	NM_001039500	127731	Hs.205178	NM_144623	ENSG00000158816	VWA5B1	-	von Willebrand factor A domain containing 5B1	protein-coding
chr1	119053774	119053774	+	0	NA	Intergenic	L1MA8|LINE|L1	-325926	NM_206996	200162	Hs.528821	NM_206996	ENSG00000155761	SPAG17	CT143|PF6	sperm associated antigen 17	protein-coding
chr10	59586237	59586237	+	0	NA	Intergenic	L1MEf|LINE|L1	441457	NM_152230	253430	Hs.30280	NM_152230	ENSG00000151151	IPMK	-	inositol polyphosphate multikinase	protein-coding
chr1	67520458	67520458	+	0	NA	promoter-TSS (NM_015139)	promoter-TSS (NM_015139)	-378	NM_015139	23169	Hs.213642	NM_015139	ENSG00000116704	SLC35D1	UGTREL7	solute carrier family 35 member D1	protein-coding
chr1	229473722	229473722	+	0	NA	"intron (NM_145257, intron 2 of 3)"	HAL1|LINE|L1	4966	NM_145257	126731	Hs.585011	NM_145257	ENSG00000154429	CCSAP	C1orf96|CSAP	"centriole, cilia and spindle associated protein"	protein-coding
chr1	94904500	94904500	+	0	NA	"intron (NM_002858, intron 1 of 22)"	"intron (NM_002858, intron 1 of 22)"	20567	NM_001122674	5825	Hs.700576	NM_002858	ENSG00000117528	ABCD3	ABC43|CBAS5|PMP70|PXMP1|ZWS2	ATP binding cassette subfamily D member 3	protein-coding
chr1	203705697	203705697	+	0	NA	"intron (NM_001001396, intron 21 of 21)"	"intron (NM_001001396, intron 21 of 21)"	5992	NR_046213	84719	Hs.661178	NM_032633		LINC00260	C1orf217|NCRNA00260	long intergenic non-protein coding RNA 260	ncRNA
chr10	72985125	72985125	+	0	NA	"intron (NM_170744, intron 1 of 16)"	"intron (NM_170744, intron 1 of 16)"	-7140	NR_038453	728978	Hs.646725	NR_038453	ENSG00000237512	UNC5B-AS1	-	UNC5B antisense RNA 1	ncRNA
