CpG Probe ID 	Chr	Start	Cerebellum Average	Brain Average	Average of all tissues (not brain) 	Prefrontal Cortex Average	Leukocyte Average 
cg00000108	3	37459206	0.485766667	0.8592125	0.910716901	0.88344	0.9675625
cg00004219	12	132536833	0.467116667	0.688645	0.898649296	0.6733	0.949875
cg00009001	12	120151890	0.283683333	0.745075	0.848374648	0.70552	0.950875
cg00011754	3	14584788	0.379283333	0.79973	0.857715493	0.85474	0.953575
cg00012529	12	132896897	0.294016667	0.753515	0.893129577	0.70894	0.944175
cg00014733	22	29730659	0.31645	0.7716025	0.899466197	0.83418	0.9399375
cg00015639	14	24554539	0.462066667	0.82266	0.80054507	0.8467	0.907525
cg00016481	8	77768353	0.207066667	0.620385	0.958459155	0.66604	0.962575
cg00021123	1	16945449	0.3426	0.456825	0.828880282	0.5241	0.938975
cg00021762	22	27832684	0.487283333	0.8457175	0.851708451	0.88082	0.902925
cg00035074	7	2701567	0.363483333	0.8131525	0.875870423	0.86292	0.931625
cg00035268	6	168225394	0.1524	0.4267275	0.913983099	0.45344	0.9646375
cg00042478	5	14710790	0.465433333	0.84606	0.925492958	0.83354	0.9353125
cg00043284	17	77955342	0.25185	0.7892275	0.888892958	0.82616	0.9658875
cg00051704	22	21353809	0.256016667	0.77643	0.897026761	0.8289	0.9376
cg00055764	12	130961718	0.1703	0.5680475	0.813826761	0.65918	0.9631
cg00055981	9	139228737	0.281466667	0.7226	0.812071831	0.79888	0.9014625
cg00058923	1	161069167	0.2352	0.6976375	0.803859155	0.70132	0.9083625
cg00064336	16	88143970	0.21095	0.7939175	0.83661831	0.86908	0.9489625
cg00071026	13	113650936	0.478016667	0.8406375	0.924404225	0.83122	0.906425
cg00071274	7	2313925	0.4062	0.85056	0.941316901	0.8879	0.956375
cg00076313	7	1748610	0.448416667	0.8072325	0.8317	0.81638	0.94975
cg00079169	19	2811669	0.3883	0.81617	0.872294366	0.86744	0.9504875
cg00081799	1	6390793	0.2521	0.5988275	0.810584507	0.47052	0.9327375
cg00083223	13	112606342	0.3125	0.77493	0.849438028	0.82632	0.916025
cg00084432	13	36944471	0.480366667	0.3577425	0.854122535	0.48896	0.9601875
cg00097432	3	114102565	0.4769	0.6625225	0.905705634	0.61216	0.960125
cg00099602	6	87993447	0.20395	0.5547325	0.814780282	0.64564	0.9535
cg00108038	12	1609245	0.2418	0.7828225	0.838650704	0.84146	0.9555375
cg00108716	1	228602400	0.225266667	0.767455	0.883650704	0.82892	0.9440625
cg00111335	8	593194	0.275583333	0.8083775	0.947346479	0.8042	0.9698125
cg00111665	2	237120186	0.2599	0.7383575	0.862183099	0.7565	0.94025
cg00112309	8	106787982	0.200383333	0.67143	0.892808451	0.71618	0.956525
cg00122851	16	1413159	0.49935	0.691685	0.873607042	0.63762	0.9242125
cg00154957	1	109850562	0.178533333	0.3006075	0.829123944	0.41704	0.94105
cg00156669	8	144852118	0.417766667	0.75864	0.896104225	0.72652	0.94115
cg00158442	12	133299889	0.471733333	0.7266275	0.829573239	0.7041	0.9232125
cg00164641	16	79030890	0.1795	0.707565	0.860485915	0.65908	0.95215
cg00169019	6	32056438	0.39495	0.736455	0.847676056	0.81696	0.930325
cg00169930	4	736398	0.445533333	0.7992575	0.814250704	0.80936	0.9304875
cg00170236	7	99691604	0.148216667	0.622285	0.8136	0.643	0.902325
cg00171154	12	311647	0.268316667	0.75423	0.846014085	0.7673	0.9177625
cg00171166	20	35444275	0.467816667	0.8220575	0.971926761	0.85482	0.9633375
cg00179196	16	117934	0.3446	0.58825	0.852240845	0.60902	0.938225
cg00183100	7	2006518	0.16545	0.78156	0.902921127	0.84074	0.9480875
cg00193902	7	98579722	0.43515	0.81687	0.899629577	0.85358	0.9340625
cg00194780	17	8172728	0.222466667	0.7325975	0.861890141	0.76726	0.934725
cg00196715	10	7212815	0.272283333	0.746655	0.929594366	0.7892	0.975475
cg00207279	7	778962	0.212133333	0.808425	0.861061972	0.89398	0.9639625
cg00210538	10	65245820	0.272883333	0.74723	0.886314085	0.82232	0.93485
cg00228738	9	95944545	0.46735	0.7989925	0.868842254	0.75788	0.927325
cg00230120	12	1609346	0.227633333	0.7165425	0.80274507	0.69954	0.9476375
cg00233594	2	135206613	0.491	0.6726875	0.870470423	0.65912	0.913625
cg00239988	5	134606261	0.306	0.70622	0.801991549	0.78674	0.9175875
cg00248875	17	79256144	0.489466667	0.8444825	0.911129577	0.87084	0.9610125
