PeakID (cmd=annotatePeaks.pl pc-site.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
0-466	chr13	110656515	110656515	+	0	NA	Intergenic	MLT2D|LTR|ERVL	-49117	NR_126387	104355146	Hs.508690	NR_126387	ENSG00000231428	LINC00396	-	long intergenic non-protein coding RNA 396	ncRNA
0-167	chr6	14166384	14166384	+	0	NA	Intergenic	Intergenic	48519	NM_001040280	9308	Hs.595133	NM_004233	ENSG00000112149	CD83	BL11|HB15	CD83 molecule	protein-coding
0-35	chr10	78385679	78385679	+	0	NA	Intergenic	Intergenic	-262123	NR_120655	101929328	Hs.664552	NR_120655	ENSG00000236467	KCNMA1-AS1	-	KCNMA1 antisense RNA 1	ncRNA
0-453	chr10	31401582	31401582	+	0	NA	Intergenic	MIRb|SINE|MIR	-75230	NR_134478	101929352	Hs.209289	NR_134478		LOC101929352	-	uncharacterized LOC101929352	ncRNA
0-364	chr8	61884217	61884217	+	0	NA	Intergenic	HAL1|LINE|L1	-3910	NR_034003	100130298	Hs.636194	NR_034003		LOC100130298	-	hCG1816373-like	ncRNA
0-73	chr15	58003526	58003526	+	0	NA	intron (NM_015532, intron 2 of 3)	intron (NM_015532, intron 2 of 3)	4807	NM_015532	81488	Hs.437256	NM_015532	ENSG00000255529	POLR2M	GCOM1|GRINL1A|Gdown|Gdown1	RNA polymerase II subunit M	protein-coding
0-394	chr2	204758774	204758774	+	0	NA	Intergenic	Intergenic	26263	NM_001037631	1493	Hs.247824	NM_005214	ENSG00000163599	CTLA4	ALPS5|CD|CD152|CELIAC3|CTLA-4|GRD4|GSE|IDDM12	cytotoxic T-lymphocyte associated protein 4	protein-coding
0-313	chr2	58558789	58558789	+	0	NA	Intergenic	Intergenic	-90274	NM_001114636	55120	Hs.631890	NM_018062	ENSG00000115392	FANCL	FAAP43|PHF9|POG	Fanconi anemia complementation group L	protein-coding
0-231	chr19	46615347	46615347	+	0	NA	Intergenic	Kanga11a|DNA|TcMar-Tc2	12584	NM_207393	388555	Hs.365496	NM_207393	ENSG00000188624	IGFL3	UNQ483	IGF like family member 3	protein-coding
0-242	chr9	95248247	95248247	+	0	NA	intron (NM_001286969, intron 4 of 6)	intron (NM_001286969, intron 4 of 6)	-3403	NM_001193335	54829	Hs.435655	NM_017680	ENSG00000106819	ASPN	OS3|PLAP-1|PLAP1|SLRR1C	asporin	protein-coding
0-111	chr8	67226428	67226428	+	0	NA	Intergenic	L2a|LINE|L2	114784	NR_040434	100505676	Hs.121613	NM_001242759	ENSG00000246145	RRS1-AS1	-	RRS1 antisense RNA 1 (head to head)	ncRNA
0-123	chr7	84338684	84338684	+	0	NA	Intergenic	Intergenic	176892	NR_110080	101927378	Hs.539042	NR_110079	ENSG00000235139	LOC101927378	-	uncharacterized LOC101927378	ncRNA
0-248	chr3	69405681	69405681	+	0	NA	intron (NM_015123, intron 1 of 22)	MLT2A1|LTR|ERVL	29774	NM_015123	23150	Hs.371681	NM_015123	ENSG00000114541	FRMD4B	6030440G05Rik|GRSP1	FERM domain containing 4B	protein-coding
0-31	chr3	187340146	187340146	+	0	NA	Intergenic	Intergenic	48055	NM_001048	6750	Hs.12409	NM_001048	ENSG00000157005	SST	SMST	somatostatin	protein-coding
0-482	chr4	14528446	14528446	+	0	NA	intron (NR_126435, intron 5 of 6)	L1PA10|LINE|L1	361347	NR_126435	201853	Hs.551051	NR_126435	ENSG00000248360	LINC00504	-	long intergenic non-protein coding RNA 504	ncRNA
0-269	chr3	106426627	106426627	+	0	NA	Intergenic	Intergenic	532858	NR_028303	100302640	Hs.648607	NR_028303	ENSG00000242759	LINC00882	-	long intergenic non-protein coding RNA 882	ncRNA
0-285	chr8	104459123	104459123	+	0	NA	Intergenic	MIR|SINE|MIR	-31560	NR_102338	81034	Hs.532265	NM_030780	ENSG00000164933	SLC25A32	MFT|MFTC|RREI	solute carrier family 25 member 32	protein-coding
0-59	chr18	42103860	42103860	+	0	NA	intron (NR_110792, intron 1 of 4)	intron (NR_110792, intron 1 of 4)	7802	NR_110792	101927921	Hs.464986	NR_110792	ENSG00000267337	LINC01478	-	long intergenic non-protein coding RNA 1478	ncRNA
0-190	chr7	106392524	106392524	+	0	NA	Intergenic	L1PA17|LINE|L1	-90890	NM_175884	168455	Hs.29692	NM_175884	ENSG00000253276	CCDC71L	C7orf74	coiled-coil domain containing 71-like	protein-coding
0-214	chr6	137022055	137022055	+	0	NA	intron (NM_005923, intron 3 of 29)	intron (NM_005923, intron 3 of 29)	71803	NR_125858	101928461	Hs.666518	NR_125858		LOC101928461	-	uncharacterized LOC101928461	ncRNA
0-455	chr11	9754970	9754970	+	0	NA	intron (NM_015055, intron 7 of 11)	intron (NM_015055, intron 7 of 11)	-24870	NR_036485	283104	Hs.632156	NR_036485	ENSG00000246273	SBF2-AS1	-	SBF2 antisense RNA 1	ncRNA
0-494	chr6	135521666	135521666	+	0	NA	non-coding (NR_134963, exon 12 of 15)	non-coding (NR_134963, exon 12 of 15)	19213	NR_134962	4602	Hs.606320	NM_005375	ENSG00000118513	MYB	Cmyb|c-myb|c-myb_CDS|efg	MYB proto-oncogene, transcription factor	protein-coding
0-76	chr2	39887769	39887769	+	0	NA	Intergenic	Intergenic	-4869	NM_001167959	130733	Hs.40808	NM_152390	ENSG00000152154	TMEM178A	TMEM178	transmembrane protein 178A	protein-coding
0-146	chr16	81089257	81089257	+	0	NA	intron (NM_001100873, intron 3 of 3)	AluJb|SINE|Alu	18470	NM_001300728	23300	Hs.16349	NM_015251	ENSG00000166454	ATMIN	ASCIZ|ZNF822	ATM interactor	protein-coding
0-403	chr1	209063926	209063926	+	0	NA	Intergenic	Intergenic	-434875	NR_135085	105372897	Hs.116154	NR_135085	ENSG00000227940	LINC01696	-	long intergenic non-protein coding RNA 1696	ncRNA
0-323	chr6	13118108	13118108	+	0	NA	intron (NM_001322314, intron 2 of 12)	intron (NM_001322314, intron 2 of 12)	104220	NM_001322314	221692	Hs.436996	NM_030948	ENSG00000112137	PHACTR1	RPEL|RPEL1|dJ257A7.2	phosphatase and actin regulator 1	protein-coding
0-209	chr13	48445600	48445600	+	0	NA	Intergenic	AluSz|SINE|Alu	61157	NR_047492	100861549	Hs.660978	NR_047492	ENSG00000260388	LINC00562	-	long intergenic non-protein coding RNA 562	ncRNA
