chr,start,end,cereb_average,all_brain_average,other_brain_avg,pref_average,leuk_average,white_matter,temporal,X.Sample_geo_accession
chr1,874697,874698,0.698516667,0.525015,0.81668481,0.53728,0.92285,0.459873684,0.53855,cg13904806
chr1,1120617,1120618,0.309683333,0.36749,0.930212658,0.51184,0.9684875,0.273557895,0.50847,cg23087108
chr1,1234354,1234355,0.2702,0.358605,0.81116962,0.46942,0.9028875,0.289157895,0.48819,cg19414302
chr1,1234844,1234845,0.29355,0.48986,0.841929487,0.5597,0.912975,0.491531579,0.56955,cg06981504
chr1,1731415,1731416,0.773366667,0.59294,0.842827848,0.67112,0.9027375,0.475731579,0.66829,cg03335128
chr1,2004968,2004969,0.168433333,0.2921625,0.829434177,0.35106,0.9743,0.292163158,0.33695,cg03959306
chr1,2006032,2006033,0.1193,0.252405,0.856537975,0.33034,0.95315,0.236252632,0.32399,cg27587033
chr1,2006465,2006466,0.174466667,0.3299225,0.894987342,0.36334,0.9423125,0.347042105,0.37396,cg06791083
chr1,2006896,2006897,0.269483333,0.3112475,0.917798718,0.37032,0.9433,0.2681,0.38875,cg01970427
chr1,2030462,2030463,0.695283333,0.4697125,0.905968354,0.5219,0.96025,0.349652632,0.53639,cg18888671
chr1,2030817,2030818,0.183133333,0.3024775,0.81673038,0.40774,0.9441125,0.254078947,0.41341,cg19759051
chr1,2066006,2066007,0.68725,0.393035,0.851616456,0.4281,0.9324375,0.271257895,0.43035,cg22366001
chr1,2174725,2174726,0.24735,0.40655,0.894449367,0.49526,0.9528875,0.384521053,0.49957,cg07842327
chr1,2188894,2188895,0.187816667,0.2056425,0.80035443,0.2455,0.924325,0.172868421,0.25868,cg05937603
chr1,2191402,2191403,0.166366667,0.400405,0.909441772,0.37832,0.9280375,0.488057895,0.38533,cg18934822
chr1,2234751,2234752,0.2407,0.416725,0.846943038,0.491,0.91455,0.410647368,0.49675,cg21405929
chr1,2483786,2483787,0.357083333,0.5234725,0.840321519,0.62704,0.9603,0.485315789,0.64402,cg06239131
chr1,2866667,2866668,0.15265,0.322215,0.857612658,0.45054,0.94215,0.247278947,0.50217,cg24412662
chr1,2899656,2899657,0.39475,0.346805,0.810525316,0.41322,0.9133,0.263647368,0.44283,cg03737787
chr1,2900163,2900164,0.751866667,0.4885175,0.826686076,0.4666,0.9034375,0.415721053,0.47978,cg11142506
chr1,3133763,3133764,0.103816667,0.4735875,0.845489873,0.59884,0.9716625,0.484268421,0.61253,cg15619820
chr1,3133857,3133858,0.161433333,0.3815625,0.830041772,0.53294,0.9526125,0.326210526,0.54312,cg22720392
chr1,3135375,3135376,0.237666667,0.465945,0.898350633,0.57116,0.96795,0.457652632,0.56606,cg25153629
chr1,3136333,3136334,0.151666667,0.3932075,0.8781,0.51802,0.9318,0.363078947,0.53297,cg17489690
chr1,3144710,3144711,0.296,0.476755,0.81961519,0.52524,0.9016625,0.469642105,0.57448,cg13152158
chr1,3277525,3277526,0.785133333,0.433315,0.904567089,0.48026,0.9207125,0.277984211,0.49388,cg01602345
chr1,3277557,3277558,0.870916667,0.5097725,0.95963038,0.5119,0.975075,0.386273684,0.52667,cg21167817
chr1,3277623,3277624,0.865866667,0.451495,0.920932911,0.4989,0.9397375,0.285915789,0.49377,cg01071314
chr1,3542729,3542730,0.6766,0.5044,0.80285443,0.5219,0.9148,0.432057895,0.52978,cg18590565
chr1,3547534,3547535,0.547,0.489735,0.824231646,0.5387,0.9119625,0.4318,0.54097,cg25616043
chr1,3662685,3662686,0.16355,0.3366425,0.851681013,0.48654,0.906325,0.269894737,0.49237,cg00397104
chr1,6132185,6132186,0.31155,0.4595075,0.8219,0.55536,0.92785,0.422942105,0.56983,cg16361915
chr1,6260616,6260617,0.441083333,0.526195,0.847658228,0.62326,0.949125,0.468915789,0.63756,cg21813101
chr1,6333843,6333844,0.344166667,0.300305,0.914008861,0.42354,0.949425,0.1936,0.41511,cg06834177
chr1,6333867,6333868,0.575316667,0.4742675,0.905256962,0.5373,0.9446625,0.414268421,0.49612,cg15100947
chr1,6352357,6352358,0.855366667,0.47999,0.885793671,0.61348,0.9124125,0.254305263,0.61682,cg26570804
