chr	start	end	cereb_average	all_brain_average	other_brain_avg	pref_average	leuk_average	white_matter	dist_to_other	dist_to_all_brain
chr1	1120617	1120618	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.656654763	0.093932105
chr1	1234354	1234355	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105
chr1	1234844	1234845	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579
chr1	2004968	2004969	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.57895E-07
chr1	2006032	2006033	0.1193	0.252405	0.856537975	0.33034	0.95315	0.236252632	0.620285343	0.016152368
chr1	2006465	2006466	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605
chr1	2006896	2006897	0.269483333	0.3112475	0.917798718	0.37032	0.9433	0.2681	0.649698718	0.0431475
chr1	2030462	2030463	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868
chr1	2030817	2030818	0.183133333	0.3024775	0.81673038	0.40774	0.9441125	0.254078947	0.562651432	0.048398553
chr1	2066006	2066007	0.68725	0.393035	0.851616456	0.4281	0.9324375	0.271257895	0.580358561	0.121777105
chr1	2174725	2174726	0.24735	0.40655	0.894449367	0.49526	0.9528875	0.384521053	0.509928314	0.022028947
chr1	2188894	2188895	0.187816667	0.2056425	0.80035443	0.2455	0.924325	0.172868421	0.627486009	0.032774079
chr1	2191402	2191403	0.166366667	0.400405	0.909441772	0.37832	0.9280375	0.488057895	0.421383877	-0.087652895
chr1	2234751	2234752	0.2407	0.416725	0.846943038	0.491	0.91455	0.410647368	0.43629567	0.006077632
chr1	2866667	2866668	0.15265	0.322215	0.857612658	0.45054	0.94215	0.247278947	0.610333711	0.074936053
chr1	2899656	2899657	0.39475	0.346805	0.810525316	0.41322	0.9133	0.263647368	0.546877948	0.083157632
chr1	2900163	2900164	0.751866667	0.4885175	0.826686076	0.4666	0.9034375	0.415721053	0.410965023	0.072796447
chr1	3133763	3133764	0.103816667	0.4735875	0.845489873	0.59884	0.9716625	0.484268421	0.361221452	-0.010680921
chr1	3133857	3133858	0.161433333	0.3815625	0.830041772	0.53294	0.9526125	0.326210526	0.503831246	0.055351974
chr1	3135375	3135376	0.237666667	0.465945	0.898350633	0.57116	0.96795	0.457652632	0.440698001	0.008292368
chr1	3136333	3136334	0.151666667	0.3932075	0.8781	0.51802	0.9318	0.363078947	0.515021053	0.030128553
chr1	3144710	3144711	0.296	0.476755	0.81961519	0.52524	0.9016625	0.469642105	0.349973085	0.007112895
chr1	3277525	3277526	0.785133333	0.433315	0.904567089	0.48026	0.9207125	0.277984211	0.626582878	0.155330789
chr1	3277623	3277624	0.865866667	0.451495	0.920932911	0.4989	0.9397375	0.285915789	0.635017122	0.165579211
chr1	3547534	3547535	0.547	0.489735	0.824231646	0.5387	0.9119625	0.4318	0.392431646	0.057935
chr1	3662685	3662686	0.16355	0.3366425	0.851681013	0.48654	0.906325	0.269894737	0.581786276	0.066747763
chr1	6132185	6132186	0.31155	0.4595075	0.8219	0.55536	0.92785	0.422942105	0.398957895	0.036565395
chr1	6333843	6333844	0.344166667	0.300305	0.914008861	0.42354	0.949425	0.1936	0.720408861	0.106705
chr1	6333867	6333868	0.575316667	0.4742675	0.905256962	0.5373	0.9446625	0.414268421	0.490988541	0.059999079
chr1	6352357	6352358	0.855366667	0.47999	0.885793671	0.61348	0.9124125	0.254305263	0.631488408	0.225684737
chr1	8442507	8442508	0.0598	0.1223525	0.895839241	0.21364	0.9488125	0.066594737	0.829244504	0.055757763
chr1	9383245	9383246	0.765883333	0.41524	0.81171519	0.43668	0.9068875	0.279210526	0.532504664	0.136029474
chr1	10169029	10169030	0.477	0.39322	0.802637975	0.39814	0.96015	0.369126316	0.433511659	0.024093684
chr1	10221203	10221204	0.1485	0.334838462	0.858411392	0.46286	0.9673875	0.280188889	0.578222504	0.054649573
chr1	10240017	10240018	0.218783333	0.251635	0.897618987	0.40894	0.9024625	0.128626316	0.768992672	0.123008684
chr1	10240025	10240026	0.191066667	0.2806675	0.926859494	0.41658	0.966375	0.206205263	0.720654231	0.074462237
chr1	11158987	11158988	0.4476	0.391855	0.806974684	0.39958	0.9468625	0.370789474	0.43618521	0.021065526
chr1	11182153	11182154	0.643933333	0.475835	0.847834177	0.54176	0.9363625	0.372494737	0.47533944	0.103340263
chr1	11361900	11361901	0.87855	0.45269	0.812678481	0.48044	0.9433375	0.286715789	0.525962692	0.165974211
chr1	12268883	12268884	0.352183333	0.47873	0.831778481	0.51748	0.9383375	0.498268421	0.33351006	-0.019538421
chr1	12566060	12566061	0.5692	0.3346925	0.878307595	0.42738	0.9453875	0.179447368	0.698860227	0.155245132
chr1	14078744	14078745	0.872216667	0.4705575	0.876087342	0.51346	0.9614	0.316478947	0.559608394	0.154078553
chr1	14113172	14113173	0.153083333	0.3533975	0.891548101	0.47776	0.96485	0.328042105	0.563505996	0.025355395
chr1	14113203	14113204	0.175933333	0.4047025	0.902843038	0.53036	0.9707125	0.382368421	0.520474617	0.022334079
chr1	14113230	14113231	0.208866667	0.4027925	0.913239241	0.5105	0.9499875	0.374210526	0.539028714	0.028581974
chr1	16945449	16945450	0.3426	0.456825	0.815943038	0.5241	0.938975	0.431189474	0.384753564	0.025635526
chr1	19526929	19526930	0.665466667	0.4143225	0.821522785	0.46898	0.922725	0.297863158	0.523659627	0.116459342
chr1	19746564	19746565	0.48795	0.4615975	0.801818987	0.45852	0.9217125	0.442089474	0.359729514	0.019508026
chr1	19983475	19983476	0.452333333	0.475365	0.833658228	0.57586	0.91335	0.406463158	0.42719507	0.068901842
chr1	23162550	23162551	0.8941	0.4466675	0.9175	0.51244	0.9445875	0.2556	0.6619	0.1910675
chr1	24086220	24086221	0.768483333	0.393615	0.844935443	0.40282	0.93935	0.259526316	0.585409127	0.134088684
chr1	26230906	26230907	0.322766667	0.449085	0.855974684	0.51842	0.94305	0.4319	0.424074684	0.017185
chr1	29490924	29490925	0.757166667	0.3887325	0.822837975	0.48876	0.928425	0.197242105	0.625595869	0.191490395
chr1	33231313	33231314	0.225733333	0.3210125	0.835681013	0.50272	0.945925	0.2147	0.620981013	0.1063125
chr1	33231382	33231383	0.140216667	0.25639	0.811270886	0.42672	0.9606125	0.160842105	0.650428781	0.095547895
chr1	33848786	33848787	0.304016667	0.3817575	0.859162025	0.52518	0.937125	0.292757895	0.566404131	0.088999605
chr1	33894461	33894462	0.690133333	0.457255	0.894946835	0.536	0.963875	0.319889474	0.575057362	0.137365526
chr1	33937433	33937434	0.7972	0.4800425	0.82964557	0.56804	0.9114	0.308505263	0.521140306	0.171537237
chr1	35543524	35543525	0.575716667	0.42302	0.86921519	0.44462	0.9686375	0.351142105	0.518073085	0.071877895
chr1	35649498	35649499	0.8291	0.47826	0.873749367	0.49896	0.9354625	0.355573684	0.518175683	0.122686316
chr1	36559506	36559507	0.129533333	0.2152975	0.849673418	0.35034	0.945825	0.116036842	0.733636576	0.099260658
chr1	38279984	38279985	0.656583333	0.426865	0.815512658	0.46764	0.920725	0.269094737	0.546417921	0.157770263
chr1	39960691	39960692	0.89485	0.4888825	0.897105063	0.4897	0.921725	0.377568421	0.519536642	0.111314079
chr1	43412752	43412753	0.475833333	0.3364925	0.856593671	0.38588	0.956925	0.230847368	0.625746302	0.105645132
chr1	44482420	44482421	0.7586	0.388948718	0.890574684	0.43892	0.9616875	0.224611111	0.665963572	0.164337607
chr1	44991042	44991043	0.87475	0.45399	0.846341772	0.48866	0.9747	0.284447368	0.561894404	0.169542632
chr1	45976998	45976999	0.562	0.3874875	0.86316962	0.49394	0.9147625	0.241394737	0.621774883	0.146092763
chr1	48162438	48162439	0.5015	0.4212725	0.841713924	0.46126	0.9113375	0.376310526	0.465403398	0.044961974
chr1	51127561	51127562	0.821216667	0.45911	0.818473418	0.52196	0.9384875	0.287515789	0.530957628	0.171594211
chr1	51166032	51166033	0.304133333	0.39255	0.861658228	0.51878	0.941225	0.302315789	0.559342438	0.090234211
chr1	51887613	51887614	0.1972	0.38788	0.818996203	0.38336	0.936675	0.458542105	0.360454097	-0.070662105
chr1	51888574	51888575	0.337683333	0.2915575	0.803046835	0.28334	0.95405	0.292421053	0.510625783	-0.000863553
chr1	54135470	54135471	0.423466667	0.458855	0.817746835	0.47356	0.9403	0.426915789	0.390831046	0.031939211
chr1	55331285	55331286	0.74975	0.4389225	0.85733038	0.5364	0.960075	0.257694737	0.599635643	0.181227763
chr1	55331361	55331362	0.67555	0.4505175	0.824750633	0.53738	0.960675	0.301926316	0.522824317	0.148591184
chr1	57011246	57011247	0.8807	0.475165	0.839407595	0.53032	0.9530125	0.290184211	0.549223384	0.184980789
chr1	59348451	59348452	0.7876	0.45149	0.916591139	0.47576	0.9644375	0.326047368	0.590543771	0.125442632
chr1	61333617	61333618	0.207383333	0.3198375	0.855416456	0.37468	0.93965	0.332152632	0.523263824	-0.012315132
chr1	65047485	65047486	0.6603	0.3829475	0.820237975	0.46046	0.9095125	0.237642105	0.582595869	0.145305395
chr1	65722872	65722873	0.624616667	0.48317	0.919724051	0.55526	0.9773125	0.383847368	0.535876682	0.099322632
