CpG. Probe	chr	start	"Average of all tissues, not lung"	Fibrotic Average	Lung Average	Leukocyte Average
cg00000108	3	37459206	0.892156757	-1	-1	0.9675625
cg00004773	12	76722955	0.875940541	-1	-1	0.9394
cg00008810	1	53924763	0.920784685	0.438025	0.9301	0.9696125
cg00016618	16	1705991	0.908298198	-1	-1	0.91525
cg00016996	1	2334022	0.953320721	-1	-1	0.9663125
cg00018866	10	50343286	0.874306306	-1	-1	0.9016375
cg00019076	16	85670772	0.914294595	-1	-1	0.9624875
cg00019880	17	53832578	0.925451351	0.4359	0.9198	0.9407
cg00020533	6	35480916	0.90291982	-1	-1	0.9388125
cg00021978	8	105476917	0.868421622	-1	-1	0.9091375
cg00027120	7	142880832	0.88019009	-1	-1	0.933425
cg00029619	6	17760992	0.928541441	-1	-1	0.9617125
cg00042611	16	57760115	0.944542342	-1	-1	0.948025
cg00042657	1	171753628	0.947736937	-1	-1	0.95235
cg00046021	7	100858451	0.879309009	-1	-1	0.9692125
cg00047147	6	32922346	0.882527027	-1	-1	0.9111375
cg00049894	7	156761024	0.875159459	-1	-1	0.92395
cg00055881	1	6153073	0.87545045	-1	-1	0.9586375
cg00056489	12	111856652	0.945044144	-1	-1	0.95515
cg00066828	17	1837612	0.924959459	0.445625	0.92605	0.94135
cg00067032	6	32975816	0.915564865	-1	-1	0.9335
cg00067538	2	231859946	0.85250991	-1	-1	0.9329625
cg00069967	3	57505680	0.911763063	-1	-1	0.9154375
cg00070235	16	1682446	0.800845946	-1	-1	0.929325
cg00071381	1	119910574	0.8924	-1	-1	0.9396
cg00076313	7	1748610	0.822882883	-1	-1	0.94975
cg00076880	6	167717196	0.852759459	-1	-1	0.9420125
cg00077898	6	1081144	0.959509009	0.45265	0.763575	0.9659
cg00078270	7	2005255	0.946795495	-1	-1	0.9525
cg00082954	6	136878319	0.903646847	-1	-1	0.9403875
cg00088691	16	12620513	0.952544144	-1	-1	0.973825
cg00089512	1	2288167	0.821491892	-1	-1	0.9268375
cg00090135	5	7848160	0.81191982	-1	-1	0.9152375
cg00094255	6	164092410	0.883062162	-1	-1	0.9064125
cg00100564	6	170041760	0.94816036	-1	-1	0.95845
cg00101227	1	161280266	0.862772973	-1	-1	0.9523375
cg00103045	5	112196507	0.926327027	-1	-1	0.9173625
cg00104707	15	89175107	0.895968468	-1	-1	0.9279625
cg00108716	1	228602400	0.841778378	-1	-1	0.9440625
cg00110609	16	4311799	0.8579	-1	-1	0.956675
cg00110687	17	80989065	0.868903604	-1	-1	0.9508125
cg00111335	8	593194	0.897267568	0.410575	0.916725	0.9698125
cg00111665	2	237120186	0.817561261	-1	-1	0.94025
cg00116172	2	3389717	0.878146847	-1	-1	0.9577875
cg00117311	16	89613399	0.901365766	-1	-1	0.95695
cg00122683	6	160510345	0.885618018	-1	-1	0.9388875
cg00127070	8	119011673	0.844363964	-1	-1	0.9223875
cg00131705	16	615073	0.922825225	-1	-1	0.9712625
