chr	start	end 	not_leuk_avg	leuk_average	chr	start	end	als.1.meth	als.1.unmeth	als.2.meth	als.2.unmeth	als.3.meth	als.3.unmeth	als.4.meth	als.4.unmeth	ctrl.1.meth	ctrl.1.unmeth	ctrl.2.meth	ctrl.2.unmeth	ctrl.3.meth	ctrl.3.unmeth	ctrl.4.meth	ctrl.4.unmeth
chr11	70211381	70211682	0.717628829	0.02305	chr11	70211393	70211394	7	0	14	0	15	0	8	0	7	0	8	1	9	0	7	1
chr11	70211381	70211682	0.717628829	0.02305	chr11	70211394	70211395	5	1	NA	NA	6	0	10	0	NA	NA	9	2	NA	NA	9	0
chr11	70211381	70211682	0.717628829	0.02305	chr11	70211398	70211399	6	1	14	0	14	0	8	0	7	0	9	0	10	0	7	0
chr11	70211381	70211682	0.717628829	0.02305	chr11	70211399	70211400	6	0	NA	NA	NA	NA	8	0	NA	NA	11	0	NA	NA	9	0
chr11	70211381	70211682	0.717628829	0.02305	chr11	70211490	70211491	6	0	10	0	7	1	10	3	10	0	9	0	10	0	NA	NA
chr11	70211381	70211682	0.717628829	0.02305	chr11	70211491	70211492	NA	NA	NA	NA	6	0	6	1	6	0	9	1	NA	NA	NA	NA
chr11	70211381	70211682	0.717628829	0.02305	chr11	70211519	70211520	4	2	13	0	8	0	10	0	11	0	11	0	10	0	NA	NA
chr11	70211381	70211682	0.717628829	0.02305	chr11	70211520	70211521	NA	NA	6	1	NA	NA	7	1	7	1	11	2	NA	NA	7	2
chr11	70211381	70211682	0.717628829	0.02305	chr11	70211563	70211564	6	0	14	0	12	0	15	0	10	0	11	1	14	0	NA	NA
chr11	70211381	70211682	0.717628829	0.02305	chr11	70211564	70211565	NA	NA	7	0	NA	NA	9	0	10	0	8	0	NA	NA	9	0
chr11	60739022	60739323	0.716296396	0.022625	chr11	60739023	60739024	7	1	9	0	8	2	5	2	8	2	8	0	8	2	NA	NA
chr11	60739022	60739323	0.716296396	0.022625	chr11	60739134	60739135	NA	NA	7	0	NA	NA	10	0	NA	NA	7	1	7	0	NA	NA
chr11	60739022	60739323	0.716296396	0.022625	chr11	60739135	60739136	6	1	11	1	16	0	8	1	13	0	13	0	7	1	NA	NA
