chr	start	end	not_musc_avg	musc_average	dist	leuk_average
chr1	1028878	1028879	0.892904505	0.413533333	0.479371171	0.9377125
chr1	1248492	1248493	0.810194595	0.48575	0.324444595	0.944325
chr1	1490676	1490677	0.809467568	0.440083333	0.369384234	0.9525625
chr1	1848649	1848650	0.817464865	0.42205	0.395414865	0.903425
chr1	1849195	1849196	0.861144144	0.44725	0.413894144	0.9482875
chr1	1873750	1873751	0.804888288	0.45405	0.350838288	0.900825
chr1	2003577	2003578	0.829028829	0.441966667	0.387062162	0.91585
chr1	2003605	2003606	0.832356757	0.4347	0.397656757	0.9013875
chr1	2429005	2429006	0.828690991	0.482966667	0.345724324	0.90765
chr1	2938954	2938955	0.881572072	0.49145	0.390122072	0.9026
chr1	6131294	6131295	0.838654054	0.450883333	0.387770721	0.925575
chr1	6131676	6131677	0.883957658	0.438066667	0.445890991	0.968625
chr1	6659205	6659206	0.828507207	0.48595	0.342557207	0.934925
chr1	7284226	7284227	0.854936937	0.403133333	0.451803604	0.9006
chr1	7289937	7289938	0.818728829	0.453566667	0.365162162	0.924025
chr1	10600222	10600223	0.830844144	0.435116667	0.395727477	0.9295125
chr1	11020631	11020632	0.878346847	0.4642	0.414146847	0.942875
chr1	12609308	12609309	0.812199099	0.37975	0.432449099	0.96135
chr1	12625959	12625960	0.856065766	0.452566667	0.403499099	0.9500125
chr1	16342155	16342156	0.928425225	0.4535	0.474925225	0.96355
chr1	16966354	16966355	0.805543243	0.436733333	0.36880991	0.9014875
chr1	30511748	30511749	0.815589189	0.458666667	0.356922523	0.914175
chr1	32664981	32664982	0.808536937	0.495983333	0.312553604	0.9451375
chr1	33865007	33865008	0.805078378	0.48445	0.320628378	0.95895
chr1	36859272	36859273	0.807458559	0.457416667	0.350041892	0.9198
chr1	38467704	38467705	0.867884685	0.404866667	0.463018018	0.9351375
chr1	52210504	52210505	0.826487387	0.44205	0.384437387	0.9162875
chr1	54859921	54859922	0.883561261	0.467816667	0.415744595	0.9481375
chr1	55024844	55024845	0.831656757	0.471816667	0.35984009	0.9362375
chr1	59893192	59893193	0.808321622	0.352916667	0.455404955	0.9168
chr1	64067694	64067695	0.883706306	0.455416667	0.42828964	0.96955
chr1	68225713	68225714	0.832634234	0.483216667	0.349417568	0.9131875
chr1	71632244	71632245	0.810024324	0.440033333	0.369990991	0.943875
chr1	76840032	76840033	0.843282883	0.4654	0.377882883	0.9442125
chr1	86534132	86534133	0.818443243	0.463983333	0.35445991	0.9502875
chr1	110889998	110889999	0.80022973	0.432783333	0.367446396	0.94535
chr1	116311579	116311580	0.837530631	0.4265	0.411030631	0.9441
chr1	116311644	116311645	0.813510811	0.390866667	0.422644144	0.917675
chr1	145486610	145486611	0.827827027	0.457316667	0.37051036	0.9576375
chr1	147083949	147083950	0.855436036	0.402716667	0.452719369	0.9339375
chr1	151100644	151100645	0.891869369	0.493916667	0.397952703	0.914425
chr1	151148266	151148267	0.818004505	0.464	0.354004505	0.970475
chr1	153605715	153605716	0.80411982	0.484816667	0.319303153	0.941575
chr1	154834293	154834294	0.856718919	0.493233333	0.363485586	0.9495
chr1	159409207	159409208	0.80452973	0.441883333	0.362646396	0.903425
chr1	160112673	160112674	0.839597297	0.4955	0.344097297	0.9512875
chr1	166812566	166812567	0.846090991	0.474	0.372090991	0.9221125
chr1	167063668	167063669	0.847068468	0.4367	0.410368468	0.933725
chr1	167063879	167063880	0.884501802	0.4504	0.434101802	0.9629375
chr1	167063901	167063902	0.869181081	0.464666667	0.404514414	0.9658875
chr1	168698479	168698480	0.825152252	0.4333	0.391852252	0.9738125
chr1	168698867	168698868	0.830779279	0.413816667	0.416962613	0.921175
chr1	172113506	172113507	0.807493694	0.481166667	0.326327027	0.9630125
chr1	172416055	172416056	0.865730631	0.465733333	0.399997297	0.928925
chr1	178819182	178819183	0.820193694	0.489033333	0.33116036	0.9638625
chr1	178914986	178914987	0.810045045	0.446666667	0.363378378	0.947875
chr1	192983012	192983013	0.84079009	0.47795	0.36284009	0.9641125
chr1	196619631	196619632	0.834334234	0.411916667	0.422417568	0.9273375
chr1	196619732	196619733	0.846955856	0.360016667	0.486939189	0.913625
chr1	205210699	205210700	0.837709009	0.458783333	0.378925676	0.9428375
chr1	206867473	206867474	0.848110811	0.461866667	0.386244144	0.9416875
chr1	209799191	209799192	0.879407207	0.4986	0.380807207	0.9501875
chr1	212798200	212798201	0.844181982	0.494366667	0.349815315	0.9555
chr1	221737032	221737033	0.879508108	0.323083333	0.556424775	0.9664
chr1	228403357	228403358	0.907010811	0.474466667	0.432544144	0.9575625
chr1	230458271	230458272	0.808281081	0.432716667	0.375564414	0.9567625
chr1	231518525	231518526	0.867175676	0.444416667	0.422759009	0.9529625
chr1	235664791	235664792	0.829466667	0.486716667	0.34275	0.9599
chr1	236848700	236848701	0.818342342	0.410183333	0.408159009	0.9198375
chr1	240654013	240654014	0.853408108	0.435183333	0.418224775	0.91575
chr2	397730	397731	0.824210811	0.4614	0.362810811	0.95785
chr2	620265	620266	0.803707207	0.416583333	0.387123874	0.94215
chr2	1544321	1544322	0.897541441	0.350783333	0.546758108	0.940425
chr2	1544370	1544371	0.862638739	0.4446	0.418038739	0.9598375
chr2	1605954	1605955	0.812456757	0.320433333	0.492023423	0.9037875
chr2	1647197	1647198	0.914445045	0.488866667	0.425578378	0.9646875
chr2	1681153	1681154	0.838243243	0.452316667	0.385926577	0.948075
chr2	1690592	1690593	0.809235135	0.318883333	0.490351802	0.9144
chr2	1732172	1732173	0.827724324	0.478466667	0.349257658	0.9343625
chr2	1743009	1743010	0.813669369	0.426	0.387669369	0.9430125
chr2	3063249	3063250	0.854198198	0.496216667	0.357981532	0.9563125
chr2	3128823	3128824	0.847579279	0.448016667	0.399562613	0.95305
chr2	3826621	3826622	0.817131532	0.390183333	0.426948198	0.9368375
chr2	11118564	11118565	0.868669369	0.354533333	0.514136036	0.965475
chr2	11598968	11598969	0.810518018	0.465916667	0.344601351	0.94525
chr2	12480395	12480396	0.800967568	0.450283333	0.350684234	0.9525125
chr2	23854382	23854383	0.806814414	0.459233333	0.347581081	0.95855
chr2	30878576	30878577	0.881102703	0.380566667	0.500536036	0.956725
chr2	47356596	47356597	0.889004505	0.480066667	0.408937838	0.9455125
chr2	62420915	62420916	0.857079279	0.435416667	0.421662613	0.9494625
chr2	75878327	75878328	0.88371982	0.48975	0.39396982	0.966
chr2	76705915	76705916	0.825453153	0.380416667	0.445036486	0.934475
chr2	88366847	88366848	0.845117117	0.405766667	0.43935045	0.9055125
chr2	88367018	88367019	0.861658559	0.385366667	0.476291892	0.9672
chr2	96852116	96852117	0.810427027	0.391933333	0.418493694	0.9050375
chr2	96905601	96905602	0.858845946	0.498433333	0.360412613	0.9444125
chr2	96917567	96917568	0.855915315	0.468	0.387915315	0.9754
