chr,start,not_musc_avg,musc_average,dist,leuk_average,X.Sample_geo_accession,gene_id,closest.SNP,SNP.allele.freq,gene_name
17,805469,0.858853153,0.201233333,0.65761982,0.9117,cg02262633,NM_022463,rs568974323;rs535832302;rs141759992;rs76165942;rs541760140;rs150054749,0.000200;0.000200;0.005791;0.001198;0.000200;0.000998,NXN
13,41109565,0.830464865,0.1971,0.633364865,0.91445,cg07037852,,rs546815061;rs567135601,0.000200;0.000200,
12,132845336,0.813736937,0.20025,0.613486937,0.9403375,cg23158189,NM_001122636,rs543986496;rs369292057;rs184912436;rs539886634;rs559606709,0.000998;0.002196;0.000599;0.000200;0.003195,GALNT9
22,36013675,0.817993694,0.224783333,0.59321036,0.963025,cg01945840,NM_005368;NM_203378;NM_203377,rs545896684;rs559663298;rs528585249;rs548617113;rs568210917,0.001997;0.000399;0.000200;0.000200;0.000399,MB;MB;MB
18,74804256,0.854402703,0.26965,0.584752703,0.9489875,cg25743490,NM_001025100;NM_001025101,rs532091626;rs552214987,0.000200;0.000200,MBP;MBP
10,30980898,0.885067568,0.3113,0.573767568,0.9289875,cg06655291,,rs574710459;rs188092585,0.000599;0.000399,
7,187333,0.876105405,0.30415,0.571955405,0.9056125,cg20865618,,rs544376008;rs73040753;rs533374923;rs117972724;rs566801595;rs527577587;rs549202715;rs567347918,0.000200;0.131789;0.000399;0.001797;0.000599;0.000200;0.001198;0.000200,
4,186435667,0.897155856,0.3263,0.570855856,0.9400125,cg20087413,NM_001114107;NM_014476,rs73016234;rs555989393,0.037939;0.000200,PDLIM3;PDLIM3
13,41109598,0.859827027,0.29,0.569827027,0.918175,cg03646291,,rs567135601;rs117320744,0.000200;0.008187,
10,134894796,0.886667568,0.317816667,0.568850901,0.9408,cg07260128,,rs75714107;rs188627054,0.010583;0.002196,
5,194607,0.905061261,0.343316667,0.561744595,0.9611375,cg26466258,NM_001080478,rs150337546;rs552798299,0.000200;0.000200,LRRC14B
4,119948542,0.863633333,0.305333333,0.5583,0.977225,cg13042918,NM_001128934;NM_133477;NM_001128933,rs199593703;rs192473578;rs201531907;rs137938917,0.000200;0.000200;0.000200;0.000200,SYNPO2;SYNPO2;SYNPO2
1,221737032,0.879508108,0.323083333,0.556424775,0.9664,cg14415956,,rs75976729;rs573724530,0.036741;0.000200,
2,1544321,0.897541441,0.350783333,0.546758108,0.940425,cg04770020,NM_175719;NM_000547;NM_175721;NM_175722,rs562701974;rs201287131;rs140731896,0.000200;0.000200;0.000200,TPO;TPO;TPO;TPO
