chr	start	end	cereb_average	all_brain_average	other_brain_avg	pref_average	leuk_average	white_matter	temporal	dist
chr1	874697	874698	0.698516667	0.525015	0.81668481	0.53728	0.92285	0.459873684	0.53855	0.29166981
chr1	1120617	1120618	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.50847	0.562722658
chr1	1234354	1234355	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.48819	0.45256462
chr1	1234844	1234845	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.56955	0.352069487
chr1	1731415	1731416	0.773366667	0.59294	0.842827848	0.67112	0.9027375	0.475731579	0.66829	0.249887848
chr1	2004968	2004969	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677
chr1	2006032	2006033	0.1193	0.252405	0.856537975	0.33034	0.95315	0.236252632	0.32399	0.604132975
chr1	2006465	2006466	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.37396	0.565064842
chr1	2006896	2006897	0.269483333	0.3112475	0.917798718	0.37032	0.9433	0.2681	0.38875	0.606551218
chr1	2030462	2030463	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.53639	0.436255854
chr1	2030817	2030818	0.183133333	0.3024775	0.81673038	0.40774	0.9441125	0.254078947	0.41341	0.51425288
chr1	2066006	2066007	0.68725	0.393035	0.851616456	0.4281	0.9324375	0.271257895	0.43035	0.458581456
chr1	2174725	2174726	0.24735	0.40655	0.894449367	0.49526	0.9528875	0.384521053	0.49957	0.487899367
chr1	2188894	2188895	0.187816667	0.2056425	0.80035443	0.2455	0.924325	0.172868421	0.25868	0.59471193
chr1	2191402	2191403	0.166366667	0.400405	0.909441772	0.37832	0.9280375	0.488057895	0.38533	0.509036772
chr1	2234751	2234752	0.2407	0.416725	0.846943038	0.491	0.91455	0.410647368	0.49675	0.430218038
chr1	2483786	2483787	0.357083333	0.5234725	0.840321519	0.62704	0.9603	0.485315789	0.64402	0.316849019
chr1	2866667	2866668	0.15265	0.322215	0.857612658	0.45054	0.94215	0.247278947	0.50217	0.535397658
chr1	2899656	2899657	0.39475	0.346805	0.810525316	0.41322	0.9133	0.263647368	0.44283	0.463720316
chr1	2900163	2900164	0.751866667	0.4885175	0.826686076	0.4666	0.9034375	0.415721053	0.47978	0.338168576
chr1	3133763	3133764	0.103816667	0.4735875	0.845489873	0.59884	0.9716625	0.484268421	0.61253	0.371902373
chr1	3133857	3133858	0.161433333	0.3815625	0.830041772	0.53294	0.9526125	0.326210526	0.54312	0.448479272
chr1	3135375	3135376	0.237666667	0.465945	0.898350633	0.57116	0.96795	0.457652632	0.56606	0.432405633
chr1	3136333	3136334	0.151666667	0.3932075	0.8781	0.51802	0.9318	0.363078947	0.53297	0.4848925
chr1	3144710	3144711	0.296	0.476755	0.81961519	0.52524	0.9016625	0.469642105	0.57448	0.34286019
chr1	3277525	3277526	0.785133333	0.433315	0.904567089	0.48026	0.9207125	0.277984211	0.49388	0.471252089
chr1	3277557	3277558	0.870916667	0.5097725	0.95963038	0.5119	0.975075	0.386273684	0.52667	0.44985788
chr1	3277623	3277624	0.865866667	0.451495	0.920932911	0.4989	0.9397375	0.285915789	0.49377	0.469437911
chr1	3542729	3542730	0.6766	0.5044	0.80285443	0.5219	0.9148	0.432057895	0.52978	0.29845443
chr1	3547534	3547535	0.547	0.489735	0.824231646	0.5387	0.9119625	0.4318	0.54097	0.334496646
chr1	3662685	3662686	0.16355	0.3366425	0.851681013	0.48654	0.906325	0.269894737	0.49237	0.515038513
chr1	6132185	6132186	0.31155	0.4595075	0.8219	0.55536	0.92785	0.422942105	0.56983	0.3623925
chr1	6260616	6260617	0.441083333	0.526195	0.847658228	0.62326	0.949125	0.468915789	0.63756	0.321463228
chr1	6333843	6333844	0.344166667	0.300305	0.914008861	0.42354	0.949425	0.1936	0.41511	0.613703861
chr1	6333867	6333868	0.575316667	0.4742675	0.905256962	0.5373	0.9446625	0.414268421	0.49612	0.430989462
chr1	6352357	6352358	0.855366667	0.47999	0.885793671	0.61348	0.9124125	0.254305263	0.61682	0.405803671
chr1	8044581	8044582	0.706216667	0.5834875	0.914698734	0.69884	0.9758	0.468721053	0.67023	0.331211234
chr1	8044991	8044992	0.620533333	0.554785	0.871698734	0.63832	0.913425	0.478452632	0.6186	0.316913734
chr1	8442507	8442508	0.0598	0.1223525	0.895839241	0.21364	0.9488125	0.066594737	0.22018	0.773486741
chr1	8497643	8497644	0.870516667	0.557075	0.897212658	0.60744	0.9387125	0.417294737	0.60941	0.340137658
chr1	9383245	9383246	0.765883333	0.41524	0.81171519	0.43668	0.9068875	0.279210526	0.45259	0.39647519
chr1	10116780	10116781	0.71655	0.519225	0.846194937	0.61234	0.916075	0.370605263	0.63665	0.326969937
chr1	10169029	10169030	0.477	0.39322	0.802637975	0.39814	0.96015	0.369126316	0.38627	0.409417975
chr1	10221203	10221204	0.1485	0.334838462	0.858411392	0.46286	0.9673875	0.280188889	0.481	0.523572931
chr1	10240017	10240018	0.218783333	0.251635	0.897618987	0.40894	0.9024625	0.128626316	0.42641	0.645983987
chr1	10240025	10240026	0.191066667	0.2806675	0.926859494	0.41658	0.966375	0.206205263	0.40795	0.646191994
chr1	10781431	10781432	0.832266667	0.585015	0.841834177	0.6272	0.9044875	0.470163158	0.63379	0.256819177
chr1	10788801	10788802	0.823	0.5028725	0.820835443	0.47606	0.9360625	0.405442105	0.50932	0.317962943
chr1	11158987	11158988	0.4476	0.391855	0.806974684	0.39958	0.9468625	0.370789474	0.39457	0.415119684
chr1	11166889	11166890	0.618416667	0.5502625	0.864053165	0.60512	0.95665	0.488405263	0.59947	0.313790665
chr1	11182153	11182154	0.643933333	0.475835	0.847834177	0.54176	0.9363625	0.372494737	0.53836	0.371999177
chr1	11361900	11361901	0.87855	0.45269	0.812678481	0.48044	0.9433375	0.286715789	0.49865	0.359988481
chr1	11795409	11795410	0.886916667	0.51721	0.879717722	0.5895	0.95465	0.349947368	0.57704	0.362507722
chr1	12268883	12268884	0.352183333	0.47873	0.831778481	0.51748	0.9383375	0.498268421	0.49816	0.353048481
chr1	12566060	12566061	0.5692	0.3346925	0.878307595	0.42738	0.9453875	0.179447368	0.44261	0.543615095
chr1	14078744	14078745	0.872216667	0.4705575	0.876087342	0.51346	0.9614	0.316478947	0.50086	0.405529842
chr1	14113172	14113173	0.153083333	0.3533975	0.891548101	0.47776	0.96485	0.328042105	0.45958	0.538150601
chr1	14113203	14113204	0.175933333	0.4047025	0.902843038	0.53036	0.9707125	0.382368421	0.52157	0.498140538
chr1	14113230	14113231	0.208866667	0.4027925	0.913239241	0.5105	0.9499875	0.374210526	0.5196	0.510446741
chr1	14134260	14134261	0.88575	0.549985	0.883417722	0.55526	0.9288375	0.457947368	0.52076	0.333432722
chr1	16945449	16945450	0.3426	0.456825	0.815943038	0.5241	0.938975	0.431189474	0.54043	0.359118038
chr1	19526929	19526930	0.665466667	0.4143225	0.821522785	0.46898	0.922725	0.297863158	0.45758	0.407200285
chr1	19746564	19746565	0.48795	0.4615975	0.801818987	0.45852	0.9217125	0.442089474	0.48439	0.340221487
chr1	19983475	19983476	0.452333333	0.475365	0.833658228	0.57586	0.91335	0.406463158	0.56985	0.358293228
chr1	22032710	22032711	0.835083333	0.543525	0.907936709	0.53646	0.9485625	0.453721053	0.54275	0.364411709
chr1	23162550	23162551	0.8941	0.4466675	0.9175	0.51244	0.9445875	0.2556	0.50835	0.4708325
chr1	24086220	24086221	0.768483333	0.393615	0.844935443	0.40282	0.93935	0.259526316	0.41886	0.451320443
chr1	25154971	25154972	0.85595	0.5125975	0.856958228	0.59156	0.9138	0.344221053	0.58702	0.344360728
chr1	26040637	26040638	0.817433333	0.5494875	0.869159494	0.54928	0.9343375	0.464952632	0.54944	0.319671994
chr1	26230906	26230907	0.322766667	0.449085	0.855974684	0.51842	0.94305	0.4319	0.52286	0.406889684
chr1	26580624	26580625	0.871583333	0.559345	0.90801519	0.69992	0.9271625	0.363110526	0.67456	0.34867019
chr1	28930190	28930191	0.846666667	0.5202325	0.900478481	0.6088	0.9529625	0.350110526	0.60332	0.380245981
chr1	29490924	29490925	0.757166667	0.3887325	0.822837975	0.48876	0.928425	0.197242105	0.48149	0.434105475
chr1	29555123	29555124	0.830116667	0.58547	0.88336962	0.62438	0.956025	0.481221053	0.6173	0.29789962
chr1	31403193	31403194	0.890283333	0.524495	0.870773418	0.60914	0.967125	0.345652632	0.6025	0.346278418
chr1	32641847	32641848	0.875366667	0.5865425	0.913663291	0.68938	0.9628	0.419036842	0.68009	0.327120791
chr1	33231313	33231314	0.225733333	0.3210125	0.835681013	0.50272	0.945925	0.2147	0.48932	0.514668513
chr1	33231382	33231383	0.140216667	0.25639	0.811270886	0.42672	0.9606125	0.160842105	0.42247	0.554880886
chr1	33818527	33818528	0.746683333	0.569065	0.852637975	0.64192	0.9394125	0.444615789	0.66252	0.283572975
chr1	33848786	33848787	0.304016667	0.3817575	0.859162025	0.52518	0.937125	0.292757895	0.52579	0.477404525
chr1	33894461	33894462	0.690133333	0.457255	0.894946835	0.536	0.963875	0.319889474	0.53915	0.437691835
chr1	33937433	33937434	0.7972	0.4800425	0.82964557	0.56804	0.9114	0.308505263	0.57167	0.34960307
chr1	35543524	35543525	0.575716667	0.42302	0.86921519	0.44462	0.9686375	0.351142105	0.45717	0.44619519
chr1	35649498	35649499	0.8291	0.47826	0.873749367	0.49896	0.9354625	0.355573684	0.49051	0.395489367
chr1	36559506	36559507	0.129533333	0.2152975	0.849673418	0.35034	0.945825	0.116036842	0.38783	0.634375918
chr1	36639894	36639895	0.696616667	0.501805	0.801907595	0.52386	0.9093	0.427836842	0.51443	0.300102595
chr1	38279984	38279985	0.656583333	0.426865	0.815512658	0.46764	0.920725	0.269094737	0.56841	0.388647658
chr1	39960691	39960692	0.89485	0.4888825	0.897105063	0.4897	0.921725	0.377568421	0.45639	0.408222563
chr1	43412752	43412753	0.475833333	0.3364925	0.856593671	0.38588	0.956925	0.230847368	0.42892	0.520101171
chr1	44461890	44461891	0.855433333	0.54349	0.894960759	0.58648	0.9515	0.401726316	0.60418	0.351470759
chr1	44482420	44482421	0.7586	0.388948718	0.890574684	0.43892	0.9616875	0.224611111	0.43798	0.501625966
chr1	44991042	44991043	0.87475	0.45399	0.846341772	0.48866	0.9747	0.284447368	0.50633	0.392351772
chr1	45002564	45002565	0.762933333	0.5728425	0.884306329	0.64648	0.9728	0.457336842	0.64143	0.311463829
chr1	45096700	45096701	0.90155	0.5761525	0.937179747	0.66754	0.97015	0.404647368	0.66108	0.361027247
chr1	45096728	45096729	0.894	0.5373275	0.906074684	0.63114	0.978475	0.348926316	0.63438	0.368747184
chr1	45976998	45976999	0.562	0.3874875	0.86316962	0.49394	0.9147625	0.241394737	0.50713	0.47568212
chr1	46113000	46113001	0.854916667	0.5937975	0.879449367	0.73826	0.9619125	0.388821053	0.75435	0.285651867
chr1	48162438	48162439	0.5015	0.4212725	0.841713924	0.46126	0.9113375	0.376310526	0.43857	0.420441424
chr1	51127561	51127562	0.821216667	0.45911	0.818473418	0.52196	0.9384875	0.287515789	0.53645	0.359363418
chr1	51166032	51166033	0.304133333	0.39255	0.861658228	0.51878	0.941225	0.302315789	0.55393	0.469108228
chr1	51421695	51421696	0.865183333	0.6131175	0.916679747	0.68468	0.9683	0.478294737	0.68226	0.303562247
chr1	51887613	51887614	0.1972	0.38788	0.818996203	0.38336	0.936675	0.458542105	0.37029	0.431116203
chr1	51888574	51888575	0.337683333	0.2915575	0.803046835	0.28334	0.95405	0.292421053	0.26635	0.511489335
chr1	54135470	54135471	0.423466667	0.458855	0.817746835	0.47356	0.9403	0.426915789	0.53342	0.358891835
chr1	54876235	54876236	0.7278	0.570312821	0.90176962	0.60032	0.9725875	0.494833333	0.59668	0.3314568
chr1	55331285	55331286	0.74975	0.4389225	0.85733038	0.5364	0.960075	0.257694737	0.54802	0.41840788
chr1	55331361	55331362	0.67555	0.4505175	0.824750633	0.53738	0.960675	0.301926316	0.55439	0.374233133
chr1	57011246	57011247	0.8807	0.475165	0.839407595	0.53032	0.9530125	0.290184211	0.55573	0.364242595
chr1	59348451	59348452	0.7876	0.45149	0.916591139	0.47576	0.9644375	0.326047368	0.47603	0.465101139
chr1	61333617	61333618	0.207383333	0.3198375	0.855416456	0.37468	0.93965	0.332152632	0.33649	0.535578956
chr1	64668576	64668577	0.877616667	0.5611025	0.896334177	0.66676	0.9457625	0.383984211	0.65489	0.335231677
chr1	65047485	65047486	0.6603	0.3829475	0.820237975	0.46046	0.9095125	0.237642105	0.45386	0.437290475
chr1	65722872	65722873	0.624616667	0.48317	0.919724051	0.55526	0.9773125	0.383847368	0.55097	0.436554051
chr1	66458803	66458804	0.818833333	0.3406525	0.903451899	0.32034	0.963675	0.186042105	0.35766	0.562799399
chr1	67001108	67001109	0.186183333	0.2647675	0.868179747	0.30976	0.9202625	0.253031579	0.31172	0.603412247
chr1	67504848	67504849	0.722416667	0.51124	0.850350633	0.5524	0.925425	0.376973684	0.61906	0.339110633
chr1	74445461	74445462	0.8271	0.590975	0.859473418	0.62282	0.9054875	0.489126316	0.62689	0.268498418
chr1	75469109	75469110	0.873516667	0.520035	0.812435443	0.56524	0.9189125	0.374621053	0.56163	0.292400443
chr1	77836400	77836401	0.361133333	0.3667125	0.806767089	0.52598	0.9218875	0.242673684	0.5261	0.440054589
chr1	78031187	78031188	0.48235	0.450495	0.88251519	0.53924	0.9524375	0.346663158	0.58429	0.43202019
chr1	83289714	83289715	0.655333333	0.477445	0.893126582	0.51256	0.9401375	0.386363158	0.52621	0.415681582
chr1	84763338	84763339	0.824616667	0.5324375	0.817710127	0.58496	0.9481375	0.403189474	0.57644	0.285272627
chr1	84876625	84876626	0.87535	0.575465	0.831851899	0.6128	0.9177	0.437610526	0.63879	0.256386899
chr1	85043256	85043257	0.832483333	0.544345	0.840139241	0.66562	0.917175	0.360536842	0.66006	0.295794241
chr1	85834261	85834262	0.813533333	0.587817949	0.856448101	0.59278	0.936275	0.495466667	0.61614	0.268630153
chr1	86913263	86913264	0.792816667	0.46905	0.850208861	0.5755	0.9343125	0.280321053	0.58015	0.381158861
chr1	90023237	90023238	0.777116667	0.40807	0.895418987	0.36912	0.9617625	0.315173684	0.38262	0.487348987
chr1	90053734	90053735	0.6538	0.4785775	0.901163291	0.60134	0.940875	0.335836842	0.58327	0.422585791
chr1	90297591	90297592	0.794866667	0.3950225	0.90708481	0.4349	0.9481625	0.218794737	0.47001	0.51206231
chr1	90405538	90405539	0.9063	0.5162225	0.898743038	0.60734	0.970275	0.314431579	0.62002	0.382520538
chr1	94860295	94860296	0.880966667	0.58774	0.820681013	0.65906	0.9023625	0.469157895	0.60145	0.232941013
chr1	96948323	96948324	0.7859	0.52349	0.835077215	0.6169	0.931125	0.383247368	0.5858	0.311587215
chr1	97610703	97610704	0.846983333	0.5212325	0.844326582	0.54882	0.9638625	0.376763158	0.58648	0.323094082
chr1	98336448	98336449	0.492916667	0.5483075	0.882332911	0.63868	0.96385	0.499031579	0.62998	0.334025411
chr1	107937181	107937182	0.806916667	0.3704675	0.83484557	0.41826	0.922725	0.19	0.42759	0.46437807
chr1	109260678	109260679	0.7518	0.37972	0.858107595	0.38834	0.9209625	0.255473684	0.38823	0.478387595
chr1	109772439	109772440	0.637916667	0.4398375	0.914810127	0.43094	0.9668625	0.392084211	0.41617	0.474972627
chr1	109811857	109811858	0.6936	0.5805225	0.861320253	0.64408	0.9227625	0.489036842	0.65472	0.280797753
chr1	109850562	109850563	0.178533333	0.3006075	0.811405063	0.41704	0.94105	0.249221053	0.41327	0.510797563
chr1	109937191	109937192	0.823833333	0.51207	0.856003797	0.52016	0.9414875	0.405921053	0.52265	0.343933797
chr1	111145889	111145890	0.202066667	0.2410275	0.867408861	0.29842	0.9337875	0.209563158	0.29549	0.626381361
chr1	116961857	116961858	0.785083333	0.480561538	0.848174684	0.39948	0.91745	0.444127778	0.40397	0.367613145
chr1	117117195	117117196	0.83025	0.6112575	0.847726582	0.64914	0.90835	0.499710526	0.67286	0.236469082
chr1	117671033	117671034	0.836633333	0.441115	0.844018987	0.40504	0.925375	0.3481	0.39857	0.402903987
chr1	119702694	119702695	0.471116667	0.5197225	0.83186962	0.54764	0.9233125	0.4862	0.59862	0.31214712
chr1	145012822	145012823	0.906283333	0.6033775	0.929110127	0.66618	0.970825	0.455005263	0.67214	0.325732627
chr1	149984927	149984928	0.855666667	0.526785	0.889725316	0.54452	0.944275	0.391431579	0.57776	0.362940316
chr1	151267394	151267395	0.826383333	0.463215	0.919839241	0.5185	0.9584125	0.294352632	0.53851	0.456624241
chr1	155148157	155148158	0.190883333	0.371485	0.81168481	0.41676	0.9183625	0.393921053	0.41458	0.44019981
chr1	155853542	155853543	0.82575	0.60841	0.868553165	0.69144	0.93865	0.477194737	0.6858	0.260143165
chr1	156109908	156109909	0.824733333	0.5346825	0.838694937	0.57472	0.928375	0.423552632	0.55178	0.304012437
chr1	156359253	156359254	0.179533333	0.365875	0.872660759	0.48726	0.9162625	0.303873684	0.53479	0.506785759
chr1	156370496	156370497	0.387266667	0.3529	0.844308861	0.45478	0.944925	0.251	0.47495	0.491408861
chr1	156564330	156564331	0.395066667	0.320755	0.914224051	0.36236	0.9724625	0.259589474	0.37158	0.593469051
chr1	158088745	158088746	0.644766667	0.51932	0.863446835	0.60768	0.9469125	0.420815789	0.58703	0.344126835
chr1	159111423	159111424	0.215733333	0.3378175	0.89660641	0.43436	0.9204625	0.324915789	0.38731	0.55878891
chr1	160185511	160185512	0.53905	0.5060775	0.856712658	0.5411	0.935825	0.476773684	0.52446	0.350635158
chr1	160850377	160850378	0.773283333	0.5597675	0.817310127	0.6378	0.92775	0.416142105	0.66553	0.257542627
chr1	161679921	161679922	0.624533333	0.4355225	0.812078481	0.50422	0.9183	0.316421053	0.51406	0.376555981
