chr	start	end	fibrotic_average	healthy_lung_average	all_lung_average	not_lung_average	leuk_average	difference	chr	start	end	als.1.meth	als.1.unmeth	als.2.meth	als.2.unmeth	als.3.meth	als.3.unmeth	als.4.meth	als.4.unmeth	ctrl.1.meth	ctrl.1.unmeth	ctrl.2.meth	ctrl.2.unmeth	ctrl.3.meth	ctrl.3.unmeth	ctrl.4.meth	ctrl.4.unmeth
chr1	156198215	156198516	0.656775	0.15455	0.4056625	0.508460194	0.4766625	0.502225	chr1	156198243	156198244	6	0	6	1	6	1	6	0	11	1	8	2	7	0	NA	NA
chr1	156198215	156198516	0.656775	0.15455	0.4056625	0.508460194	0.4766625	0.502225	chr1	156198244	156198245	6	2	5	1	5	3	7	2	6	1	6	1	7	0	NA	NA
chr10	65670384	65670685	0.16005	0.7307	0.445375	NA	0.415475	0.57065	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr11	123048011	123048312	0.790775	0.072675	0.431725	0.456050485	0.59735	0.7181	chr11	123048083	123048084	7	1	17	2	10	1	12	1	11	2	11	3	13	3	NA	NA
chr11	123048011	123048312	0.790775	0.072675	0.431725	0.456050485	0.59735	0.7181	chr11	123048084	123048085	NA	NA	17	0	NA	NA	8	0	6	2	14	2	10	1	6	0
chr11	123048011	123048312	0.790775	0.072675	0.431725	0.456050485	0.59735	0.7181	chr11	123048182	123048183	NA	NA	9	0	7	0	9	0	9	0	19	0	12	1	NA	NA
chr11	123048011	123048312	0.790775	0.072675	0.431725	0.456050485	0.59735	0.7181	chr11	123048183	123048184	NA	NA	4	2	5	1	6	0	11	0	6	0	NA	NA	NA	NA
chr12	62523147	62523448	0.17165	0.67215	0.4219	NA	NA	0.5005	chr12	62523376	62523377	4	2	11	3	13	2	8	2	6	3	1	5	11	1	8	1
chr12	62523147	62523448	0.17165	0.67215	0.4219	NA	NA	0.5005	chr12	62523377	62523378	5	5	12	2	10	4	9	3	7	2	8	3	5	5	NA	NA
chr13	110424347	110424648	0.72555	0.130025	0.4277875	0.598116505	0.8505625	0.595525	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
