cpg.chr	cpg.start	cpg.end	not_leuk	leuk	als.chr	als.start	als.end	als.1	als.2	als.3	als.4	ctrl.1	ctrl.2	ctrl.3	ctrl.4
chr1	891118	891269	0.725791892	0.2153	.	-1	-1	.	.	.	.	.	.	.	.
chr1	947078	947229	0.803784685	0.290475	chr1	947091	947092	NA	NA	81.81818182	83.33333333	NA	100	88.88888889	NA
chr1	947078	947229	0.803784685	0.290475	chr1	947092	947093	NA	100	94.11764706	92.30769231	100	100	100	NA
chr1	947078	947229	0.803784685	0.290475	chr1	947097	947098	NA	NA	100	NA	NA	88.88888889	100	NA
chr1	947078	947229	0.803784685	0.290475	chr1	947098	947099	85.71428571	78.57142857	94.73684211	92.30769231	100	100	100	NA
chr1	947078	947229	0.803784685	0.290475	chr1	947109	947110	NA	NA	NA	100	NA	100	100	NA
chr1	947078	947229	0.803784685	0.290475	chr1	947110	947111	100	87.5	100	92.85714286	88.23529412	100	100	NA
chr1	947078	947229	0.803784685	0.290475	chr1	947154	947155	NA	NA	NA	100	NA	NA	100	NA
chr1	947078	947229	0.803784685	0.290475	chr1	947155	947156	100	100	93.33333333	83.33333333	88.88888889	100	100	NA
chr1	947078	947229	0.803784685	0.290475	chr1	947166	947167	NA	NA	NA	83.33333333	NA	NA	87.5	NA
chr1	947078	947229	0.803784685	0.290475	chr1	947167	947168	100	86.66666667	84.61538462	100	94.44444444	91.66666667	100	NA
chr1	947078	947229	0.803784685	0.290475	chr1	947220	947221	NA	NA	NA	NA	NA	100	NA	NA
chr1	947078	947229	0.803784685	0.290475	chr1	947221	947222	100	100	100	100	100	100	NA	NA
chr1	1148898	1149049	0.594266667	0.0451125	chr1	1149048	1149049	NA	NA	NA	NA	NA	NA	100	NA
chr1	1306871	1307022	0.634083784	0.07205	chr1	1306892	1306893	NA	66.66666667	NA	100	100	NA	NA	NA
chr1	1306871	1307022	0.634083784	0.07205	chr1	1306893	1306894	NA	100	NA	NA	NA	NA	NA	NA
chr1	1306871	1307022	0.634083784	0.07205	chr1	1306898	1306899	100	NA	NA	100	100	NA	NA	NA
chr1	1306871	1307022	0.634083784	0.07205	chr1	1306899	1306900	NA	100	NA	NA	NA	NA	NA	NA
chr1	1306871	1307022	0.634083784	0.07205	chr1	1306909	1306910	83.33333333	NA	NA	71.42857143	NA	NA	NA	NA
chr1	1306871	1307022	0.634083784	0.07205	chr1	1306910	1306911	NA	NA	NA	83.33333333	NA	NA	NA	NA
chr1	1306871	1307022	0.634083784	0.07205	chr1	1306941	1306942	33.33333333	NA	NA	42.85714286	NA	NA	28.57142857	NA
chr1	1306871	1307022	0.634083784	0.07205	chr1	1306961	1306962	NA	NA	16.66666667	16.66666667	NA	NA	0	NA
chr1	1306871	1307022	0.634083784	0.07205	chr1	1306984	1306985	66.66666667	NA	NA	NA	NA	NA	33.33333333	NA
chr1	1306871	1307022	0.634083784	0.07205	chr1	1306996	1306997	66.66666667	NA	NA	NA	NA	NA	83.33333333	NA
chr1	1306871	1307022	0.634083784	0.07205	chr1	1307021	1307022	83.33333333	NA	NA	71.42857143	NA	NA	71.42857143	NA
chr1	1564347	1564498	0.714015315	0.202	chr1	1564368	1564369	NA	NA	NA	90	NA	NA	NA	NA
chr1	1564347	1564498	0.714015315	0.202	chr1	1564369	1564370	NA	71.42857143	88.88888889	66.66666667	NA	90	100	66.66666667
chr1	1564347	1564498	0.714015315	0.202	chr1	1564389	1564390	NA	NA	NA	100	NA	NA	NA	NA
chr1	1564347	1564498	0.714015315	0.202	chr1	1564390	1564391	NA	83.33333333	100	NA	NA	100	81.81818182	100
chr1	1564347	1564498	0.714015315	0.202	chr1	1564393	1564394	NA	NA	NA	100	NA	NA	NA	NA
chr1	1564347	1564498	0.714015315	0.202	chr1	1564394	1564395	NA	100	100	NA	NA	100	100	100
chr1	1564347	1564498	0.714015315	0.202	chr1	1564401	1564402	NA	NA	83.33333333	87.5	NA	NA	NA	NA
chr1	1564347	1564498	0.714015315	0.202	chr1	1564402	1564403	NA	100	100	NA	NA	88.88888889	100	80
