"cereb_average" "all_brain_average" "other_brain_avg" "pref_average" "leuk_average" "white_matter" "chr" "start" "X.Sample_geo_accession"
"166" 0.698516666666667 0.525015 0.816684810126582 0.53728 0.92285 0.459873684210526 "1" 874697 "cg13904806"
"666" 0.309683333333333 0.36749 0.930212658227848 0.51184 0.9684875 0.273557894736842 "1" 1120617 "cg23087108"
"870" 0.2702 0.358605 0.811169620253165 0.46942 0.9028875 0.289157894736842 "1" 1234354 "cg19414302"
"872" 0.29355 0.48986 0.841929487179487 0.5597 0.912975 0.491531578947368 "1" 1234844 "cg06981504"
"1540" 0.773366666666667 0.59294 0.842827848101266 0.67112 0.9027375 0.475731578947368 "1" 1731415 "cg03335128"
"1827" 0.168433333333333 0.2921625 0.82943417721519 0.35106 0.9743 0.292163157894737 "1" 2004968 "cg03959306"
"1834" 0.1193 0.252405 0.856537974683544 0.33034 0.95315 0.236252631578947 "1" 2006032 "cg27587033"
"1835" 0.174466666666667 0.3299225 0.894987341772152 0.36334 0.9423125 0.347042105263158 "1" 2006465 "cg06791083"
"1837" 0.269483333333333 0.3112475 0.917798717948718 0.37032 0.9433 0.2681 "1" 2006896 "cg01970427"
"1881" 0.695283333333333 0.4697125 0.90596835443038 0.5219 0.96025 0.349652631578947 "1" 2030462 "cg18888671"
"1882" 0.183133333333333 0.3024775 0.816730379746835 0.40774 0.9441125 0.254078947368421 "1" 2030817 "cg19759051"
"1941" 0.68725 0.393035 0.851616455696202 0.4281 0.9324375 0.271257894736842 "1" 2066006 "cg22366001"
"2128" 0.24735 0.40655 0.894449367088608 0.49526 0.9528875 0.384521052631579 "1" 2174725 "cg07842327"
"2146" 0.187816666666667 0.2056425 0.800354430379747 0.2455 0.924325 0.172868421052632 "1" 2188894 "cg05937603"
"2150" 0.166366666666667 0.400405 0.909441772151899 0.37832 0.9280375 0.488057894736842 "1" 2191402 "cg18934822"
"2219" 0.2407 0.416725 0.846943037974684 0.491 0.91455 0.410647368421053 "1" 2234751 "cg21405929"
"2674" 0.357083333333333 0.5234725 0.840321518987342 0.62704 0.9603 0.485315789473684 "1" 2483786 "cg06239131"
"2951" 0.15265 0.322215 0.857612658227848 0.45054 0.94215 0.247278947368421 "1" 2866667 "cg24412662"
"2979" 0.39475 0.346805 0.810525316455696 0.41322 0.9133 0.263647368421053 "1" 2899656 "cg03737787"
"2981" 0.751866666666667 0.4885175 0.826686075949367 0.4666 0.9034375 0.415721052631579 "1" 2900163 "cg11142506"
"3308" 0.103816666666667 0.4735875 0.845489873417722 0.59884 0.9716625 0.484268421052632 "1" 3133763 "cg15619820"
"3309" 0.161433333333333 0.3815625 0.830041772151899 0.53294 0.9526125 0.326210526315789 "1" 3133857 "cg22720392"
"3314" 0.237666666666667 0.465945 0.898350632911392 0.57116 0.96795 0.457652631578947 "1" 3135375 "cg25153629"
"3317" 0.151666666666667 0.3932075 0.8781 0.51802 0.9318 0.363078947368421 "1" 3136333 "cg17489690"
"3339" 0.296 0.476755 0.819615189873418 0.52524 0.9016625 0.469642105263158 "1" 3144710 "cg13152158"
"3520" 0.785133333333333 0.433315 0.904567088607595 0.48026 0.9207125 0.277984210526316 "1" 3277525 "cg01602345"
"3521" 0.870916666666667 0.5097725 0.959630379746835 0.5119 0.975075 0.386273684210526 "1" 3277557 "cg21167817"
"3522" 0.865866666666667 0.451495 0.920932911392405 0.4989 0.9397375 0.285915789473684 "1" 3277623 "cg01071314"
"3854" 0.6766 0.5044 0.802854430379747 0.5219 0.9148 0.432057894736842 "1" 3542729 "cg18590565"
"3857" 0.547 0.489735 0.82423164556962 0.5387 0.9119625 0.4318 "1" 3547534 "cg25616043"
