							als1	als2						
chr1	1028803	1028879		.	-1	-1	.	.	.	.	.	.	.	.
chr1	1248417	1248493		chr1	1248444	1248445	NA	83.33333333	NA	NA	NA	NA	NA	NA
chr1	1490601	1490677		chr1	1490604	1490605	NA	NA	NA	100	NA	NA	NA	NA
chr1	1490601	1490677		chr1	1490611	1490612	NA	NA	NA	100	NA	NA	NA	NA
chr1	1490601	1490677		chr1	1490615	1490616	NA	NA	NA	100	NA	NA	NA	NA
chr1	1490601	1490677		chr1	1490622	1490623	NA	NA	NA	100	NA	NA	NA	NA
chr1	1490601	1490677		chr1	1490634	1490635	NA	NA	NA	75	NA	NA	NA	NA
chr1	1490601	1490677		chr1	1490639	1490640	NA	NA	NA	100	NA	NA	NA	NA
chr1	1490601	1490677		chr1	1490647	1490648	NA	NA	NA	100	NA	NA	NA	NA
chr1	1490601	1490677		chr1	1490659	1490660	NA	NA	NA	88.88888889	NA	NA	NA	NA
chr1	1848574	1848650		.	-1	-1	.	.	.	.	.	.	.	.
chr1	1849120	1849196		chr1	1849185	1849186	83.33333333	91.66666667	100	80	91.66666667	91.66666667	84.61538462	NA
chr1	1849120	1849196		chr1	1849186	1849187	NA	100	100	NA	100	88.88888889	100	NA
chr1	1873675	1873751		chr1	1873676	1873677	NA	83.33333333	NA	100	NA	62.5	100	NA
chr1	1873675	1873751		chr1	1873677	1873678	87.5	100	100	100	NA	NA	NA	100
chr1	1873675	1873751		chr1	1873685	1873686	NA	100	100	100	NA	100	100	100
chr1	1873675	1873751		chr1	1873686	1873687	100	100	NA	100	NA	NA	NA	100
chr1	2003502	2003578		chr1	2003504	2003505	0	30	60	NA	NA	0	35.71428571	50
chr1	2003502	2003578		chr1	2003505	2003506	NA	29.41176471	18.18181818	28.57142857	64.28571429	NA	41.66666667	NA
chr1	2003502	2003578		chr1	2003531	2003532	0	11.11111111	12.5	28.57142857	NA	28.57142857	33.33333333	25
chr1	2003502	2003578		chr1	2003532	2003533	NA	15.38461538	37.5	NA	16.66666667	NA	30.76923077	NA
chr1	2003502	2003578		chr1	2003534	2003535	0	0	12.5	14.28571429	NA	57.14285714	25	14.28571429
chr1	2003502	2003578		chr1	2003535	2003536	NA	23.07692308	NA	NA	33.33333333	NA	25	NA
chr1	2003502	2003578		chr1	2003549	2003550	0	0	0	0	NA	0	12.5	NA
chr1	2003502	2003578		chr1	2003550	2003551	NA	0	NA	NA	0	NA	0	NA
chr1	2003530	2003606		chr1	2003531	2003532	0	11.11111111	12.5	28.57142857	NA	28.57142857	33.33333333	25
chr1	2003530	2003606		chr1	2003532	2003533	NA	15.38461538	37.5	NA	16.66666667	NA	30.76923077	NA
chr1	2003530	2003606		chr1	2003534	2003535	0	0	12.5	14.28571429	NA	57.14285714	25	14.28571429
chr1	2003530	2003606		chr1	2003535	2003536	NA	23.07692308	NA	NA	33.33333333	NA	25	NA
chr1	2003530	2003606		chr1	2003549	2003550	0	0	0	0	NA	0	12.5	NA
