chr	start	end		cereb_average	all_brain_average	other_brain_avg	pref_average	leuk_average	white_matter	chr 	start	end	als.1	als.2	als.3	als.4	ctrl.1	ctrl.2	ctrl.3	ctrl.4
chr7	65610334	65610485		0.894133333	0.64327	0.830222785	0.73834	0.9718	0.498710526	chr7	65610463	65610464	NA	70	83.33333333	93.33333333	72.72727273	85.71428571	88.88888889	85.71428571
chr7	65610334	65610485		0.894133333	0.64327	0.830222785	0.73834	0.9718	0.498710526	chr7	65610464	65610465	NA	87.5	92.30769231	100	100	84.61538462	100	NA
chr5	132118745	132118896		0.761066667	0.60368	0.802291139	0.6694	0.94835	0.484915789	.	-1	-1	.	.	.	.	.	.	.	.
chr3	87282635	87282786		0.86855	0.6395325	0.84581519	0.7399	0.9527125	0.491847368	.	-1	-1	.	.	.	.	.	.	.	.
chr2	129335766	129335917		0.877133333	0.62491	0.835625316	0.6846	0.904125	0.493142105	chr2	129335850	129335851	NA	NA	NA	25	NA	NA	NA	NA
chr2	129335766	129335917		0.877133333	0.62491	0.835625316	0.6846	0.904125	0.493142105	chr2	129335851	129335852	NA	12.5	NA	75	0	37.5	0	NA
chr11	36407094	36407245		0.856016667	0.6191075	0.830261538	0.67002	0.90395	0.499810526	chr11	36407141	36407142	87.5	93.33333333	93.33333333	100	100	87.5	93.33333333	100
chr11	36407094	36407245		0.856016667	0.6191075	0.830261538	0.67002	0.90395	0.499810526	chr11	36407142	36407143	NA	100	100	100	87.5	100	100	NA
chr11	36407094	36407245		0.856016667	0.6191075	0.830261538	0.67002	0.90395	0.499810526	chr11	36407164	36407165	85.71428571	90	84.61538462	62.5	86.66666667	92.85714286	88.88888889	66.66666667
chr11	36407094	36407245		0.856016667	0.6191075	0.830261538	0.67002	0.90395	0.499810526	chr11	36407165	36407166	NA	90	92.30769231	100	75	90	81.81818182	NA
chr4	44682783	44682934		0.713433333	0.5995025	0.811459494	0.69812	0.923	0.490047368	.	-1	-1	.	.	.	.	.	.	.	.
chr1	203768366	203768517		0.816633333	0.6107575	0.826092405	0.68934	0.9706	0.486505263	chr1	203768406	203768407	NA	65	53.84615385	53.84615385	64.70588235	NA	46.15384615	NA
