chr	start	end	not_leuk_avg	leuk_dist	leuk_average
chr11	70211531	70211532	0.717628829	0.694578829	0.02305
chr11	60739172	60739173	0.716296396	0.693671396	0.022625
chr12	54891634	54891635	0.713685586	0.686223086	0.0274625
chr19	17957106	17957107	0.727612613	0.685487613	0.042125
chr1	198590738	198590739	0.759616216	0.685291216	0.074325
chr5	40676198	40676199	0.742791892	0.683904392	0.0588875
chr12	44226393	44226394	0.727954054	0.682516554	0.0454375
chr9	123689193	123689194	0.761788288	0.682025788	0.0797625
chr11	60739005	60739006	0.722757658	0.680620158	0.0421375
chr4	84034390	84034391	0.708056757	0.673656757	0.0344
chr19	937630	937631	0.716822523	0.672635023	0.0441875
chr10	105978651	105978652	0.737631532	0.671994032	0.0656375
chr17	80358876	80358877	0.70026036	0.67172286	0.0285375
chr12	47610220	47610221	0.69802973	0.67115473	0.026875
chr2	220112465	220112466	0.704845946	0.670358446	0.0344875
chr7	37392880	37392881	0.717605405	0.670105405	0.0475
chr12	54891636	54891637	0.698836036	0.669473536	0.0293625
chr2	158300475	158300476	0.69051982	0.66459482	0.025925
chr12	51717674	51717675	0.7218	0.664475	0.057325
chr5	54397592	54397593	0.708553153	0.663990653	0.0445625
chr10	6104312	6104313	0.707645946	0.663558446	0.0440875
chr9	273072	273073	0.717897297	0.662922297	0.054975
chr10	14701815	14701816	0.708307207	0.661557207	0.04675
chr8	21769114	21769115	0.719254054	0.660979054	0.058275
chr5	169533347	169533348	0.704279279	0.660704279	0.043575
chr17	56409011	56409012	0.70893964	0.65968964	0.04925
chr1	27945005	27945006	0.71723964	0.65963964	0.0576
chr3	150921051	150921052	0.748326126	0.659426126	0.0889
chr1	202128682	202128683	0.693608108	0.659195608	0.0344125
chr21	36421472	36421473	0.679066667	0.659016667	0.02005
chr19	49838777	49838778	0.687361261	0.658448761	0.0289125
chr12	51718112	51718113	0.713175676	0.658213176	0.0549625
chr14	52867870	52867871	0.6947	0.6582125	0.0364875
chr4	187549458	187549459	0.733208108	0.657158108	0.07605
chr3	27521365	27521366	0.758840541	0.655565541	0.103275
chr16	50701064	50701065	0.727881982	0.654494482	0.0733875
chr1	159770136	159770137	0.775965766	0.654303266	0.1216625
chr2	158300485	158300486	0.674372973	0.652985473	0.0213875
chr6	25875233	25875234	0.728113514	0.652813514	0.0753
chr2	143886326	143886327	0.678952252	0.652327252	0.026625
chr1	202129566	202129567	0.716813514	0.652238514	0.064575
chr6	11382675	11382676	0.695134234	0.652134234	0.043
chr12	55378411	55378412	0.694594595	0.651944595	0.04265
chr1	9031262	9031263	0.709485586	0.651910586	0.057575
chr12	125139714	125139715	0.28097027	0.65080473	0.931775
chr16	90092755	90092756	0.698385586	0.650798086	0.0475875
chr12	9911289	9911290	0.697233333	0.650345833	0.0468875
chr1	117544206	117544207	0.704445045	0.650057545	0.0543875
chr20	4664695	4664696	0.81239009	0.64925259	0.1631375
