chr	start	end	not_musc_avg	musc_average	dist	leuk_average	chr	start	end	als.1.meth	als.1.unmeth	als.2.meth	als.2.unmeth	als.3.meth	als.3.unmeth	als.4.meth	als.4.unmeth	ctrl.1.meth	ctrl.1.unmeth	ctrl.2.meth	ctrl.2.unmeth	ctrl.3.meth	ctrl.3.unmeth	ctrl.4.meth	ctrl.4.unmeth
chr1	1028728	1029029	0.892904505	0.413533333	0.479371171	0.9377125	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr1	1248342	1248643	0.810194595	0.48575	0.324444595	0.944325	chr1	1248355	1248356	NA	NA	6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1248342	1248643	0.810194595	0.48575	0.324444595	0.944325	chr1	1248444	1248445	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1248342	1248643	0.810194595	0.48575	0.324444595	0.944325	chr1	1248510	1248511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0
chr1	1248342	1248643	0.810194595	0.48575	0.324444595	0.944325	chr1	1248553	1248554	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1248342	1248643	0.810194595	0.48575	0.324444595	0.944325	chr1	1248642	1248643	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490527	1490528	NA	NA	6	0	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490564	1490565	NA	NA	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490590	1490591	NA	NA	NA	NA	NA	NA	9	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490604	1490605	NA	NA	NA	NA	NA	NA	9	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490611	1490612	NA	NA	NA	NA	NA	NA	9	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490615	1490616	NA	NA	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490622	1490623	NA	NA	NA	NA	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490634	1490635	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490639	1490640	NA	NA	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490647	1490648	NA	NA	NA	NA	NA	NA	9	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490659	1490660	NA	NA	NA	NA	NA	NA	8	1	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490685	1490686	NA	NA	NA	NA	NA	NA	8	1	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490690	1490691	NA	NA	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490702	1490703	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490736	1490737	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490756	1490757	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1490526	1490827	0.809467568	0.440083333	0.369384234	0.9525625	chr1	1490826	1490827	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1848499	1848800	0.817464865	0.42205	0.395414865	0.903425	chr1	1848687	1848688	NA	NA	13	0	19	0	9	1	17	1	10	0	18	0	6	0
chr1	1848499	1848800	0.817464865	0.42205	0.395414865	0.903425	chr1	1848688	1848689	NA	NA	8	1	12	0	8	0	7	0	7	0	13	0	NA	NA
chr1	1849045	1849346	0.861144144	0.44725	0.413894144	0.9482875	chr1	1849185	1849186	5	1	11	1	7	0	8	2	11	1	11	1	11	2	NA	NA
chr1	1849045	1849346	0.861144144	0.44725	0.413894144	0.9482875	chr1	1849186	1849187	NA	NA	12	0	6	0	NA	NA	10	0	8	1	16	0	NA	NA
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873623	1873624	NA	NA	7	0	NA	NA	NA	NA	7	0	11	0	7	1	6	0
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873624	1873625	7	0	10	0	10	0	10	1	NA	NA	5	2	NA	NA	NA	NA
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873626	1873627	NA	NA	7	0	NA	NA	NA	NA	6	1	11	0	8	0	NA	NA
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873627	1873628	7	0	9	1	10	0	10	1	NA	NA	7	1	NA	NA	NA	NA
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873636	1873637	NA	NA	6	1	NA	NA	NA	NA	7	0	12	0	7	0	NA	NA
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873637	1873638	6	0	7	0	8	0	11	0	NA	NA	7	0	NA	NA	NA	NA
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873668	1873669	NA	NA	6	0	NA	NA	6	1	6	1	8	0	7	0	NA	NA
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873669	1873670	7	0	7	0	6	0	7	1	NA	NA	NA	NA	NA	NA	5	1
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873676	1873677	NA	NA	5	1	NA	NA	7	0	NA	NA	5	3	7	0	NA	NA
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873677	1873678	7	1	9	0	6	0	9	0	NA	NA	NA	NA	NA	NA	6	0
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873685	1873686	NA	NA	6	0	7	0	7	0	NA	NA	9	0	7	0	6	0
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873686	1873687	7	0	9	0	NA	NA	11	0	NA	NA	NA	NA	NA	NA	6	0
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873796	1873797	NA	NA	10	2	8	0	12	0	6	0	NA	NA	4	2	NA	NA
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873797	1873798	NA	NA	7	1	6	0	11	0	6	1	NA	NA	7	0	NA	NA
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873833	1873834	NA	NA	12	0	8	0	8	1	NA	NA	NA	NA	NA	NA	6	0
chr1	1873600	1873901	0.804888288	0.45405	0.350838288	0.900825	chr1	1873834	1873835	NA	NA	NA	NA	7	0	11	3	8	0	NA	NA	6	1	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003504	2003505	0	9	3	7	6	4	NA	NA	NA	NA	0	7	5	9	4	4
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003505	2003506	NA	NA	5	12	2	9	2	5	9	5	NA	NA	5	7	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003531	2003532	0	8	1	8	1	7	2	5	NA	NA	2	5	3	6	2	6
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003532	2003533	NA	NA	2	11	3	5	NA	NA	2	10	NA	NA	4	9	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003534	2003535	0	8	0	8	1	7	1	6	NA	NA	4	3	2	6	1	6
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003535	2003536	NA	NA	3	10	NA	NA	NA	NA	4	8	NA	NA	3	9	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003549	2003550	0	8	0	8	0	8	0	8	NA	NA	0	6	1	7	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003550	2003551	NA	NA	0	10	NA	NA	NA	NA	0	14	NA	NA	0	10	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003600	2003601	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003601	2003602	NA	NA	0	6	NA	NA	2	4	2	4	NA	NA	NA	NA	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003609	2003610	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003610	2003611	NA	NA	0	6	NA	NA	1	6	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003624	2003625	NA	NA	NA	NA	NA	NA	1	6	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003643	2003644	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003680	2003681	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003427	2003728	0.829028829	0.441966667	0.387062162	0.91585	chr1	2003686	2003687	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003504	2003505	0	9	3	7	6	4	NA	NA	NA	NA	0	7	5	9	4	4
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003505	2003506	NA	NA	5	12	2	9	2	5	9	5	NA	NA	5	7	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003531	2003532	0	8	1	8	1	7	2	5	NA	NA	2	5	3	6	2	6
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003532	2003533	NA	NA	2	11	3	5	NA	NA	2	10	NA	NA	4	9	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003534	2003535	0	8	0	8	1	7	1	6	NA	NA	4	3	2	6	1	6
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003535	2003536	NA	NA	3	10	NA	NA	NA	NA	4	8	NA	NA	3	9	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003549	2003550	0	8	0	8	0	8	0	8	NA	NA	0	6	1	7	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003550	2003551	NA	NA	0	10	NA	NA	NA	NA	0	14	NA	NA	0	10	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003600	2003601	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003601	2003602	NA	NA	0	6	NA	NA	2	4	2	4	NA	NA	NA	NA	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003609	2003610	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003610	2003611	NA	NA	0	6	NA	NA	1	6	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003624	2003625	NA	NA	NA	NA	NA	NA	1	6	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003643	2003644	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003680	2003681	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003686	2003687	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003729	2003730	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2003455	2003756	0.832356757	0.4347	0.397656757	0.9013875	chr1	2003736	2003737	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2428855	2429156	0.828690991	0.482966667	0.345724324	0.90765	chr1	2428867	2428868	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2938804	2939105	0.881572072	0.49145	0.390122072	0.9026	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131150	6131151	9	1	19	1	16	5	9	3	9	2	9	1	16	0	11	0
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131176	6131177	NA	NA	NA	NA	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131177	6131178	9	0	14	2	16	3	11	2	10	1	9	0	15	1	8	1
