chr	start	end	fibrotic_average	healthy_lung_average	all_lung_average	not_lung_average	leuk_average	difference (fibrotic - lung)
chr1	156198365	156198366	0.656775	0.15455	0.4056625	0.508460194	0.4766625	0.502225
chr10	65670534	65670535	0.16005	0.7307	0.445375	NA	0.415475	0.57065
chr11	123048161	123048162	0.790775	0.072675	0.431725	0.456050485	0.59735	0.7181
chr12	62523297	62523298	0.17165	0.67215	0.4219	NA	NA	0.5005
chr13	110424497	110424498	0.72555	0.130025	0.4277875	0.598116505	0.8505625	0.595525
chr15	77378753	77378754	0.39855	0.913075	0.6558125	NA	NA	0.514525
chr16	85531414	85531415	0.1477	0.654825	0.4012625	NA	0.493875	0.507125
chr17	4019965	4019966	0.21965	0.84295	0.5313	NA	NA	0.6233
chr2	69394936	69394937	0.89005	0.358175	0.6241125	NA	NA	0.531875
chr2	69812277	69812278	0.792825	0.272425	0.532625	NA	0.6568375	0.5204
chr2	151776216	151776217	0.741525	0.14525	0.4433875	NA	NA	0.596275
chr2	207090465	207090466	0.209375	0.752675	0.481025	NA	NA	0.5433
chr20	379541	379542	0.3665	0.918125	0.6423125	NA	NA	0.551625
chr21	29565216	29565217	0.31005	0.8204	0.565225	NA	NA	0.51035
chr21	35982790	35982791	0.110425	0.6346	0.3725125	NA	0.5257625	0.524175
chr21	47419697	47419698	0.68475	0.178	0.431375	0.647299029	0.2936375	0.50675
chr22	49051077	49051078	0.712975	0.1519	0.4324375	NA	NA	0.561075
chr4	8233264	8233265	0.885325	0.342825	0.614075	NA	0.919075	0.5425
chr4	46381220	46381221	0.277075	0.8539	0.5654875	0.640363107	0.6576625	0.576825
chr5	5586070	5586071	0.29015	0.811775	0.5509625	NA	NA	0.521625
chr6	29427519	29427520	0.249475	0.750025	0.49975	0.655802913	0.6896875	0.50055
chr6	114225012	114225013	0.756925	0.25515	0.5060375	NA	0.8243125	0.501775
chr7	2050401	2050402	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999
chr7	33053280	33053281	0.22575	0.7807	0.503225	NA	NA	0.55495
chr8	39792132	39792133	0.139025	0.707975	0.4235	NA	NA	0.56895
chr9	80409811	80409812	0.3056	0.880825	0.5932125	NA	NA	0.575225
chrX	111621927	111621928	0.3487	0.87495	0.611825	NA	0.3316875	0.52625
