chr	start	end	cereb_average	all_brain_average	other_brain_avg	pref_average	leuk_average	white_matter	dist_to_other	dist_to_all_brain	chr	start	end	als.1.meth	als.1.unmeth	als.2.meth	als.2.unmeth	als.3.meth	als.3.unmeth	als.4.meth	als.4.unmeth	ctrl.1.meth	ctrl.1.unmeth	ctrl.2.meth	ctrl.2.unmeth	ctrl.3.meth	ctrl.3.unmeth	ctrl.4.meth	ctrl.4.unmeth
chr1	1120467	1120768	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.656654763	0.093932105	chr1	1120489	1120490	NA	NA	0	6	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1120467	1120768	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.656654763	0.093932105	chr1	1120527	1120528	NA	NA	1	5	NA	NA	1	5	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1120467	1120768	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.656654763	0.093932105	chr1	1120625	1120626	7	4	6	3	NA	NA	NA	NA	NA	NA	5	1	5	1	NA	NA
chr1	1120467	1120768	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.656654763	0.093932105	chr1	1120626	1120627	NA	NA	NA	NA	NA	NA	7	2	NA	NA	6	3	4	2	NA	NA
chr1	1120467	1120768	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.656654763	0.093932105	chr1	1120674	1120675	9	0	9	1	8	0	8	1	NA	NA	7	0	8	0	NA	NA
chr1	1120467	1120768	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.656654763	0.093932105	chr1	1120675	1120676	NA	NA	NA	NA	NA	NA	9	1	NA	NA	7	1	NA	NA	NA	NA
chr1	1120467	1120768	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.656654763	0.093932105	chr1	1120678	1120679	7	2	10	1	7	0	9	0	NA	NA	7	0	6	1	NA	NA
chr1	1120467	1120768	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.656654763	0.093932105	chr1	1120679	1120680	NA	NA	NA	NA	4	2	10	0	NA	NA	7	1	NA	NA	NA	NA
chr1	1120467	1120768	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.656654763	0.093932105	chr1	1120732	1120733	10	1	12	0	8	0	10	1	NA	NA	9	0	8	1	NA	NA
chr1	1120467	1120768	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.656654763	0.093932105	chr1	1120733	1120734	9	0	7	1	6	0	10	1	NA	NA	6	4	NA	NA	NA	NA
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234232	1234233	NA	NA	NA	NA	8	0	7	0	NA	NA	NA	NA	7	0	NA	NA
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234233	1234234	NA	NA	NA	NA	NA	NA	8	0	NA	NA	5	1	NA	NA	NA	NA
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234263	1234264	NA	NA	NA	NA	8	0	NA	NA	6	0	NA	NA	NA	NA	NA	NA
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234287	1234288	NA	NA	NA	NA	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234306	1234307	NA	NA	NA	NA	7	0	NA	NA	NA	NA	NA	NA	6	0	NA	NA
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234329	1234330	NA	NA	NA	NA	NA	NA	6	0	6	0	NA	NA	8	0	NA	NA
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234374	1234375	NA	NA	9	1	10	0	7	0	6	1	NA	NA	7	1	6	0
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234409	1234410	NA	NA	12	1	12	0	8	0	NA	NA	6	0	7	0	NA	NA
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234410	1234411	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234415	1234416	NA	NA	13	1	9	3	6	1	NA	NA	4	2	7	0	7	0
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234416	1234417	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234459	1234460	NA	NA	11	3	7	2	5	1	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234460	1234461	NA	NA	NA	NA	NA	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA
